remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.04,0,0.0,0,320,180,3,0.0,0,0,0,0,0.0
0.06,0,0.0,18,320,180,5,2.74,11,0,29241,0,77.5
0.06,0,0.0,10,320,180,5,6.24,78,0,75404,0,74.67
0.06,0,0.0,9,320,180,7,5.01,56,0,68162,0,60.4
0.05,0,0.0,7,320,180,3,7.01,40,0,41547,0,54.86
0.04,0,0.0,19,320,180,3,0.95,4,0,9283,1,44.67
0.08,1,0.0,1,320,180,3,0.0,0,0,5991,1,0.0
0.08,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.08,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.08,0,0.0,0,320,180,5,0.0,0,0,0,0,0.0
0.08,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.08,0,0.0,24,320,180,3,3.37,43,0,10884,0,208.0
0.08,0,0.0,60,320,180,5,0.0,38,0,80344,0,0.0
0.12,0,0.0,13,320,180,6,2.99,43,0,63879,0,129.67
0.11,0,0.0,17,320,180,5,3.93,52,0,120799,1,120.25
0.11,2,0.13,15,320,180,5,4.08,55,0,124311,1,119.0
0.1,2,0.14,14,320,180,4,4.86,43,0,99456,2,121.2
0.08,1,0.11,11,320,180,5,4.12,39,0,89350,1,88.25
0.08,1,0.07,18,320,180,4,3.0,95,0,157145,0,98.0
0.09,0,0.0,15,320,180,5,5.01,53,0,121071,0,115.4
0.08,0,0.0,22,320,180,3,6.0,62,0,171593,0,96.0
0.08,0,0.0,9,320,180,5,4.99,29,0,64449,0,93.8
0.07,0,0.0,16,320,180,4,5.01,78,0,137823,0,85.6
0.07,1,0.07,11,320,180,4,4.0,45,0,82875,1,99.75
0.07,0,0.0,14,320,180,5,4.99,56,0,98225,0,74.8
0.06,0,0.0,9,320,180,3,4.01,30,0,61499,0,57.0
0.05,0,0.0,28,320,180,4,5.0,93,0,241479,2,63.2
0.07,3,0.12,16,320,180,5,3.15,98,0,129766,1,138.33
0.08,1,0.0,15,320,180,4,5.01,50,0,114830,2,115.2
0.07,1,0.12,11,320,180,4,4.98,43,0,80926,0,100.2
0.06,0,0.0,14,320,180,5,5.0,44,0,107990,0,79.6
0.06,1,0.07,12,320,180,4,4.7,62,0,96143,0,69.2
0.06,1,0.07,20,320,180,5,3.21,82,0,169901,1,67.33
0.07,3,0.16,15,320,180,5,4.73,65,0,127163,0,76.0
0.07,1,0.07,22,320,180,4,5.29,59,0,180700,2,58.8
0.08,3,0.15,15,320,180,5,4.01,57,0,112586,2,66.0
0.08,0,0.0,13,320,180,4,3.62,76,0,98208,0,52.25
0.08,1,0.07,16,320,180,3,5.37,46,0,125390,1,46.6
0.08,0,0.0,14,320,180,4,4.14,50,0,104630,0,34.5
0.07,2,0.11,13,320,180,4,5.05,45,0,100712,1,140.0
0.06,0,0.0,14,320,180,5,5.96,32,0,107210,1,129.0
0.06,1,0.07,15,320,180,5,3.96,47,0,122070,1,124.0
0.06,1,0.08,11,320,180,4,5.07,32,0,88303,0,121.6
0.05,0,0.0,15,320,180,3,3.99,62,0,120349,1,111.75
0.06,1,0.06,8,320,180,4,2.95,136,0,57404,1,107.0
0.08,1,0.1,19,320,180,4,4.07,41,0,153204,1,98.25
0.09,3,0.15,21,320,180,4,4.0,81,0,168377,1,110.5
0.08,0,0.0,14,320,180,4,4.97,46,0,94767,0,97.6
0.07,0,0.0,20,320,180,4,6.05,52,0,154080,0,89.17
0.08,0,0.0,17,320,180,3,3.88,86,0,145897,1,110.75
0.08,1,0.06,13,320,180,4,3.08,58,0,110214,0,115.33
0.07,1,0.1,13,320,180,4,3.98,47,0,101040,1,110.0
0.07,0,0.0,12,320,180,4,4.04,52,0,99246,1,108.0
0.07,3,0.2,21,320,180,4,4.0,57,0,155054,2,99.5
0.07,1,0.06,16,320,180,5,4.92,62,0,129633,2,94.0
0.07,1,0.08,19,320,180,2,5.04,81,0,169791,1,58.6
0.08,2,0.1,16,320,180,3,2.87,137,0,133857,3,118.0
0.08,2,0.18,9,320,180,5,3.17,58,0,70289,1,87.0
0.09,1,0.12,20,320,180,4,3.8,122,0,171786,0,76.0
0.1,1,0.04,18,320,180,5,3.16,116,0,147322,1,86.0
0.1,4,0.23,19,320,180,5,4.98,67,0,147997,2,83.4
0.1,0,0.0,19,320,180,5,4.02,81,0,162285,1,82.75
0.11,2,0.1,18,320,180,5,1.95,165,0,151905,1,79.0
0.11,1,0.07,9,320,180,5,3.08,12,0,44766,1,133.67
