remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.13,0,0.06,0,1280,720,1,0.0,0,0,0,0,0.0
0.17,7,0.0,188,1280,720,2,5.46,331,0,1724521,6,58.44
0.18,7,0.07,140,1280,720,3,8.94,470,0,1298083,4,59.33
0.19,13,0.09,98,1280,720,1,3.24,175,0,878051,13,63.67
0.25,18,0.09,126,1280,720,3,8.73,112,2,1126118,12,47.6
0.25,4,0.05,111,1280,720,3,9.38,98,3,971628,4,49.75
0.24,8,0.08,126,1280,720,4,11.93,109,6,1107820,7,39.67
0.21,8,0.09,108,1280,720,3,9.07,211,5,941822,2,48.44
0.21,18,0.12,105,1280,720,3,7.14,205,0,920485,16,133.0
0.2,2,0.04,191,1280,720,2,8.05,555,0,1743209,1,112.0
0.21,9,0.08,189,1280,720,4,11.77,390,3,1725444,11,60.92
0.25,16,0.0,195,1280,720,1,3.07,511,9,1768024,0,72.67
0.28,29,0.05,104,1280,720,3,2.48,383,2,929517,19,69.67
0.28,0,0.0,107,1280,720,4,0.0,0,0,959257,0,0.0
0.28,0,0.0,141,1280,720,2,9.32,144,0,1274254,6,71.33
0.28,7,0.14,151,1280,720,1,13.08,500,2,1380870,1,56.54
0.36,9,0.07,134,640,360,1,4.0,896,9,1224674,0,28.75
0.34,7,0.0,118,640,360,1,1.99,1513,9,1099353,0,65.5
0.32,15,0.11,110,640,360,1,2.01,934,4,1004890,5,15.0
0.36,9,0.07,57,640,360,3,2.0,61,0,435363,13,39.5
0.4,10,0.11,98,640,360,3,2.01,33,0,882700,4,58.5
0.42,1,0.07,98,640,360,4,6.0,75,0,853778,2,49.33
0.41,2,0.33,95,640,360,3,5.99,84,0,829958,2,52.33
0.36,4,0.06,93,640,360,4,8.03,43,0,827069,3,52.12
0.32,4,0.06,96,640,360,1,5.99,65,0,823206,3,46.0
0.29,4,0.08,97,640,360,2,8.02,68,1,853393,6,43.25
0.25,2,0.04,89,640,360,2,0.0,160,4,806817,2,0.0
0.23,7,0.09,93,640,360,4,2.0,17,0,799851,7,48.0
0.23,2,0.0,90,640,360,7,4.02,47,0,794062,0,42.75
0.25,0,0.0,92,640,360,5,3.94,57,0,788466,2,49.0
0.24,4,0.12,62,320,180,7,0.63,27,0,283636,1,41.5
0.24,0,0.12,0,320,180,6,0.0,0,0,0,0,0.0
0.24,0,0.12,0,320,180,7,0.0,0,0,0,0,0.0
0.24,9,0.0,40,320,180,7,7.26,109,11,320622,6,57.57
0.24,0,0.0,12,320,180,7,6.21,385,2,108042,0,57.5
0.3,6,0.22,14,320,180,7,5.36,683,3,103238,4,76.4
0.27,0,0.0,15,320,180,7,6.97,486,0,96900,0,66.71
0.2,1,0.08,13,320,180,6,6.0,127,0,66707,1,107.33
0.17,2,0.12,36,320,180,6,7.02,7,0,28645,0,70.0
0.14,0,0.0,32,320,180,6,6.99,16,0,50156,0,48.71
0.1,1,0.14,26,320,180,5,7.0,20,0,63243,2,41.43
0.08,2,0.2,27,320,180,1,6.69,18,0,54092,0,44.43
0.06,0,0.0,26,320,180,1,7.33,35,0,65289,1,52.0
0.05,0,0.0,33,320,180,2,6.0,13,1,44906,0,42.17
0.05,0,0.0,22,320,180,3,6.0,46,0,63758,0,41.83
0.05,1,0.12,34,320,180,1,6.02,10,0,39326,0,45.0
0.05,1,0.11,27,320,180,1,4.87,28,0,59025,0,38.0
0.05,0,0.0,13,320,180,1,0.0,589,0,117497,1,0.0
0.04,1,0.12,28,320,180,2,0.0,0,0,0,0,0.0
0.05,0,0.0,43,320,180,1,0.97,2,0,9475,0,112.0
0.05,0,0.0,51,320,180,4,1.03,10,0,35077,0,32.0
0.11,0,0.0,39,320,180,2,2.0,40,0,54792,0,68.5
0.1,0,0.0,26,320,180,1,2.99,126,0,94186,0,93.0
0.11,0,0.0,32,320,180,1,1.0,110,1,96359,1,8.0
0.13,1,0.12,24,320,180,1,0.0,328,1,79352,1,0.0
0.13,2,0.15,43,320,180,3,1.0,30,3,53300,1,11.0
0.13,0,0.0,22,320,180,4,0.0,394,1,98242,0,0.0
0.19,0,0.0,57,320,180,3,1.01,2,0,14007,0,108.0
0.19,0,0.0,65,320,180,4,0.0,0,0,0,0,0.0
0.25,0,0.0,65,320,180,3,0.0,0,0,0,0,0.0
0.25,0,0.0,45,320,180,4,1.96,4,0,21885,0,104.0
0.25,0,0.0,57,320,180,4,1.02,2,0,19483,1,84.0
0.22,1,0.25,46,320,180,1,3.97,10,0,46845,0,73.0
0.21,0,0.0,29,320,180,2,2.0,107,3,91524,0,34.5
0.17,1,0.12,25,320,180,4,0.99,293,3,78412,0,94.0
0.16,2,0.16,48,320,180,3,1.01,1,0,23261,2,109.0
0.22,1,0.14,52,320,180,4,1.0,1,0,7920,0,71.0
0.21,0,0.0,39,320,180,1,3.01,10,0,46573,0,78.33
0.21,0,0.0,20,320,180,2,3.9,94,0,92531,1,76.5
0.17,3,0.33,30,320,180,4,3.07,20,0,53931,1,62.67
0.17,0,0.0,36,320,180,4,4.01,14,0,45743,0,70.0
0.16,0,0.0,38,320,180,4,3.0,14,0,41096,0,68.33
0.13,0,0.0,35,320,180,5,4.0,20,0,66944,0,56.5
0.12,0,0.0,25,320,180,4,3.99,44,0,79192,1,59.75
0.12,2,0.09,17,320,180,1,1.62,30,0,25510,1,66.5
0.12,0,0.09,870,320,180,1,0.0,0,0,104542,0,0.0
0.12,0,0.09,42,320,180,1,2.08,2,0,16369,0,34.0
0.11,0,0.0,15,320,180,2,2.0,126,0,88418,0,40.5
0.11,0,0.0,12,320,180,1,4.0,366,0,103065,1,42.0
0.14,1,0.12,13,320,180,3,2.97,772,0,102318,0,69.0
0.14,0,0.0,14,320,180,4,4.04,338,0,104337,0,66.0
0.16,3,0.2,31,320,180,4,0.85,104,0,24339,1,58.0
0.15,1,0.5,28,320,180,4,1.12,52,0,46879,0,36.0
0.15,0,0.0,27,320,180,5,2.6,36,0,59114,0,46.0
0.26,0,0.0,12,320,180,4,3.98,347,0,87399,0,59.0
0.27,2,0.22,14,320,180,4,4.02,322,0,99589,1,52.5
0.25,1,0.07,12,320,180,4,4.0,90,0,74019,1,50.75
0.23,4,0.36,16,320,180,4,5.02,107,0,92228,3,59.4
0.2,0,0.0,25,320,180,4,3.98,61,0,61105,0,91.25
0.17,0,0.0,12,320,180,4,1.0,430,4,104884,1,13.0
0.15,3,0.37,11,320,180,4,0.0,828,3,98541,3,0.0
0.15,1,0.1,15,320,180,5,1.0,141,3,63961,1,13.0
0.15,0,0.0,14,320,180,3,0.0,551,1,82891,1,0.0
