remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.23,0,0.0,0,640,360,4,0.0,0,0,0,0,0.0
0.16,0,0.0,20,640,360,4,4.7,148,0,164710,1,65.86
0.16,0,0.0,27,640,360,5,4.82,158,0,217188,0,59.5
0.13,2,0.1,23,640,360,6,6.02,157,0,189399,1,52.33
0.1,1,0.04,48,640,360,6,6.97,282,0,420153,5,48.29
0.08,5,0.23,43,640,360,5,4.98,312,1,357866,3,47.0
0.08,2,0.06,34,640,360,6,6.05,223,1,286033,2,54.0
0.11,4,0.09,25,640,360,5,4.97,191,0,200547,3,43.0
0.1,2,0.07,21,640,360,4,3.98,175,0,172411,2,37.0
0.1,3,0.12,35,640,360,5,5.04,298,0,311104,4,54.4
0.1,4,0.19,41,640,360,1,1.0,812,0,367058,0,26.0
0.1,4,0.21,19,640,360,4,4.02,158,0,158404,4,92.75
0.11,4,0.1,26,640,360,6,5.97,180,0,204623,2,99.33
0.15,1,0.06,17,640,360,6,5.99,146,0,128472,2,65.83
0.13,4,0.19,20,640,360,6,6.03,149,0,167263,4,52.0
0.09,2,0.14,20,640,360,5,5.01,193,0,152562,1,43.8
0.09,1,0.06,22,640,360,5,5.97,219,0,189591,3,36.0
0.08,3,0.16,33,640,360,3,3.0,460,0,282804,2,34.67
0.07,1,0.05,25,640,360,2,2.01,802,0,216774,3,140.0
0.09,4,0.12,15,640,360,4,4.0,144,0,133796,3,69.25
0.14,3,0.13,19,640,360,5,4.97,158,0,149350,5,59.2
0.14,3,0.25,20,640,360,5,5.04,235,0,160762,0,88.8
0.12,0,0.0,12,640,360,6,6.0,200,0,78608,0,86.17
0.11,0,0.0,26,640,360,3,2.99,307,4,220665,3,75.33
0.1,2,0.0,12,640,360,2,1.98,297,1,100006,0,111.0
0.1,0,0.0,4,640,360,3,3.03,159,0,25774,0,86.67
0.12,2,0.18,17,640,360,5,5.01,185,0,134264,1,55.4
0.13,1,0.5,17,640,360,5,5.01,217,0,134575,0,51.6
0.1,0,0.0,13,640,360,5,4.98,189,0,94259,0,49.4
0.11,0,0.0,16,640,360,5,5.02,247,0,133300,1,42.4
0.09,1,0.07,18,640,360,5,5.0,217,0,137327,1,41.6
0.08,2,0.13,19,640,360,4,3.99,217,0,145933,2,40.5
0.08,2,0.12,13,640,360,5,5.02,188,0,101034,1,40.4
0.09,1,0.06,14,640,360,5,4.94,189,0,103443,1,39.4
0.08,1,0.09,12,640,360,5,5.05,196,0,95712,0,37.6
