remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.33,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.33,0,0.0,43,320,180,5,1.57,1,2,6614,0,153.0
0.31,0,0.0,39,320,180,6,5.23,5,0,24958,0,106.8
0.26,0,0.0,31,320,180,6,6.02,9,0,45671,1,89.17
0.22,2,0.4,40,320,180,6,5.9,6,0,21051,0,76.33
0.16,1,0.14,40,320,180,5,6.0,6,0,26449,0,58.67
0.13,1,0.25,35,320,180,6,5.11,6,0,29479,1,48.8
0.1,2,0.28,36,320,180,6,6.01,7,0,28720,0,43.17
0.07,0,0.0,34,320,180,5,5.87,9,0,38263,0,38.5
0.05,0,0.0,34,320,180,5,5.11,9,0,40315,1,33.2
0.05,1,0.16,28,320,180,6,4.98,15,0,47463,0,29.6
0.04,0,0.0,22,320,180,6,6.02,38,0,69594,2,28.67
0.04,2,0.22,30,320,180,4,5.92,18,1,51614,1,43.0
0.04,0,0.0,16,320,180,4,4.04,236,2,96657,3,41.75
0.04,2,0.25,20,320,180,6,4.02,84,0,72200,3,68.0
0.06,6,0.5,35,320,180,5,5.99,23,0,42107,2,48.67
0.07,4,0.25,32,320,180,4,4.86,14,0,45966,2,33.0
0.07,0,0.25,20,320,180,4,4.12,74,3,80062,3,50.25
0.06,2,0.0,21,320,180,6,3.99,78,0,83629,2,53.25
0.07,7,0.7,17,320,180,6,5.91,82,0,81519,2,37.5
0.08,3,0.43,31,320,180,6,6.52,20,0,52287,2,35.71
0.07,2,0.18,23,320,180,6,5.74,45,0,69249,2,28.0
0.07,2,0.25,19,320,180,3,5.78,80,2,78219,3,43.0
0.09,3,0.37,14,320,180,5,2.96,112,1,96674,4,57.33
0.09,6,0.6,32,320,180,6,5.06,16,0,40603,3,50.2
0.09,2,0.33,37,320,180,6,5.99,11,0,29452,0,31.83
0.08,0,0.0,18,320,180,6,6.02,77,0,85671,1,32.0
0.09,4,0.44,25,320,180,6,6.0,52,0,74118,3,30.67
0.08,1,0.11,26,320,180,5,5.98,29,0,48573,1,31.17
0.08,3,0.37,19,320,180,4,5.01,72,1,91237,3,36.8
0.09,3,0.0,19,320,180,5,3.99,90,0,70302,2,43.75
0.09,3,0.3,25,320,180,6,5.02,27,0,65013,3,37.2
0.09,6,0.75,25,320,180,6,5.98,65,0,65515,1,31.67
0.11,3,0.37,21,320,180,5,6.01,92,0,83993,4,34.33
0.11,4,0.36,21,320,180,5,5.01,55,0,76229,5,36.2
0.11,3,0.33,19,320,180,7,4.96,70,0,82680,3,27.0
0.1,1,0.14,26,320,180,7,7.04,67,0,69838,2,32.0
0.08,2,0.22,22,320,180,6,7.0,55,0,64624,1,30.86
0.08,3,0.0,27,320,180,5,6.0,38,0,67201,2,31.0
0.08,3,0.3,36,320,180,6,4.94,16,0,31837,0,31.0
0.07,0,0.0,21,320,180,6,6.05,50,0,66777,2,26.83
0.06,3,0.25,18,320,180,5,6.03,94,0,86833,2,31.17
0.06,3,0.3,25,320,180,6,4.99,36,0,62390,5,33.4
0.07,3,0.27,20,320,180,7,6.03,79,0,84298,2,31.0
0.07,0,0.0,18,320,180,6,6.97,138,3,90522,2,40.57
0.07,3,0.27,25,320,180,7,6.0,45,0,56626,1,42.17
0.08,4,0.0,30,320,180,6,7.03,25,0,56381,0,35.14
0.07,1,0.12,20,320,180,6,5.98,59,0,72476,2,32.5
0.07,3,0.3,24,320,180,4,5.95,34,1,67992,1,30.67
0.07,0,0.0,22,320,180,5,4.03,79,0,65747,1,35.75
0.07,5,0.62,25,320,180,7,4.99,75,0,65845,1,38.6
0.09,6,0.6,27,320,180,6,6.97,33,0,65102,1,37.0
0.07,0,0.0,27,320,180,6,5.92,33,0,62947,1,35.33
0.06,3,0.3,29,320,180,7,6.08,28,0,47359,1,31.67
0.06,2,0.25,22,320,180,6,6.96,58,0,71569,2,32.29
0.06,1,0.14,20,320,180,7,6.1,47,0,78215,3,30.83
0.07,3,0.27,25,320,180,7,6.98,44,0,70327,1,37.14
0.07,5,0.41,24,320,180,4,7.02,33,0,75897,2,33.0
0.06,2,0.2,14,320,180,5,4.0,181,3,99393,3,38.0
0.09,4,0.44,15,320,180,1,4.91,126,3,80036,2,40.0
0.12,1,0.12,22,320,180,4,1.02,91,0,61684,1,34.0
0.14,1,0.0,34,320,180,5,4.01,12,0,41470,1,30.75
0.13,1,0.5,31,320,180,7,4.98,18,0,42711,1,35.2
0.1,2,0.22,26,320,180,3,7.09,33,0,67688,2,30.86
0.09,1,0.14,43,320,180,7,0.0,21,0,1853,0,0.0
0.09,0,0.0,33,320,180,7,3.35,8,0,43737,1,23.33
0.17,3,0.6,14,320,180,7,6.97,140,0,95495,0,23.57
0.14,1,0.08,15,320,180,6,7.0,163,0,100174,1,25.14
0.12,1,0.08,18,320,180,6,7.0,52,0,66352,0,27.14
0.1,1,0.08,30,320,180,6,6.02,23,0,46720,2,31.33
0.08,2,0.18,31,320,180,7,6.92,26,0,47583,0,33.86
0.07,1,0.11,27,320,180,7,6.55,22,0,58877,1,28.0
0.06,2,0.2,24,320,180,6,6.54,54,0,60579,1,35.0
0.07,4,0.43,25,320,180,6,6.88,51,0,78535,3,33.14
0.07,4,0.0,19,320,180,7,6.06,96,0,87788,2,30.83
0.08,3,0.27,27,320,180,7,7.05,48,0,51435,0,40.14
0.07,0,0.0,26,320,180,7,7.01,37,0,62404,0,31.71
0.06,1,0.1,18,320,180,7,7.0,57,0,65622,1,32.43
0.06,0,0.1,23,320,180,6,6.99,27,0,68666,2,30.86
0.06,3,0.3,33,320,180,6,7.23,15,0,37511,0,36.0
0.05,0,0.0,32,320,180,6,5.77,24,0,57839,1,31.5
0.05,5,0.62,24,320,180,6,6.06,53,0,54680,1,33.83
0.07,2,0.0,27,320,180,6,6.97,37,0,63578,0,31.0
