remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.06,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.14,2,0.0,65,320,180,3,2.55,13,2,49285,2,104.83
0.14,2,0.22,52,320,180,5,5.06,16,1,82009,0,81.25
0.13,0,0.0,66,320,180,5,4.78,8,3,71710,1,71.0
0.1,4,0.33,67,320,180,5,5.37,5,1,69310,3,63.6
0.08,4,0.57,32,320,180,4,3.88,60,0,133025,2,47.5
0.08,4,0.3,22,320,180,2,2.08,128,0,139942,3,92.0
0.1,3,0.25,35,320,180,1,0.94,31,0,69981,3,150.0
0.1,1,0.25,48,320,180,2,2.13,4,0,29945,1,117.0
0.13,1,0.5,23,320,180,4,3.98,36,0,74266,2,92.25
0.12,1,0.12,35,320,180,4,4.02,23,0,34100,0,108.25
0.11,1,0.14,31,320,180,5,4.94,20,0,56328,2,82.8
0.09,0,0.0,27,320,180,5,5.06,26,0,49349,1,79.8
0.09,3,0.0,20,320,180,5,4.96,63,0,69062,3,81.8
0.09,1,0.1,27,320,180,5,5.03,21,0,55291,1,77.0
0.07,2,0.25,24,320,180,5,5.0,50,0,63116,2,72.4
0.08,1,0.14,32,320,180,5,5.0,26,0,47168,0,74.8
0.08,0,0.0,28,320,180,5,5.01,33,0,55354,2,61.4
0.07,2,0.22,27,320,180,5,5.01,20,0,55641,1,52.4
0.07,1,0.14,14,320,180,5,4.99,132,0,88483,2,106.2
0.08,2,0.25,30,320,180,6,6.0,23,0,52747,3,161.5
0.08,5,0.55,44,320,180,6,5.95,8,0,26209,1,115.33
0.07,0,0.0,14,320,180,4,4.03,184,0,86247,1,136.0
0.09,2,0.0,23,320,180,1,0.49,38,0,25363,3,153.0
0.09,0,0.0,0,320,180,1,0.0,0,0,0,0,0.0
0.09,0,0.0,51,320,180,4,4.11,21,0,68604,1,139.5
0.16,1,0.0,15,320,180,5,5.0,117,0,84149,1,125.6
0.15,3,0.33,19,320,180,5,5.01,69,0,72987,2,121.8
0.13,1,0.11,20,320,180,6,6.0,43,0,79724,1,122.5
0.11,3,0.33,32,320,180,5,4.99,5,0,38340,1,120.6
0.09,0,0.0,32,320,180,5,5.01,19,0,41966,2,107.8
0.08,1,0.14,29,320,180,5,5.0,19,0,57126,3,84.0
0.06,2,0.0,37,320,180,4,3.99,5,0,29073,0,87.25
