remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.05,0,0.16,0,320,180,2,0.0,0,0,0,0,0.0
0.06,3,0.6,15,320,180,3,1.53,28,0,61932,2,62.67
0.07,0,0.0,15,320,180,1,3.49,59,0,121269,3,66.0
0.08,2,0.22,17,320,180,1,1.79,209,0,30136,0,63.6
0.42,3,0.0,25,320,180,2,0.2,229,0,27608,3,30.0
0.42,0,0.0,0,320,180,3,0.0,0,0,0,0,0.0
0.42,0,0.0,4,320,180,4,0.0,0,0,35127,2,0.0
0.42,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.42,0,0.0,0,320,180,3,0.0,0,0,0,0,0.0
0.42,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.42,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.42,2,0.0,9,320,180,4,0.74,458,0,41505,0,95.0
0.42,0,0.0,15,320,180,3,0.0,0,0,0,0,0.0
0.42,0,0.0,0,320,180,4,0.0,0,0,0,0,0.0
0.53,3,0.33,18,320,180,3,0.72,52,0,48639,4,105.0
0.53,0,0.0,11,320,180,3,3.04,343,0,76097,1,121.0
0.58,3,0.27,12,320,180,4,3.31,135,0,105969,2,67.67
0.51,2,0.28,12,320,180,4,4.0,114,0,67889,3,73.75
0.46,2,0.33,11,320,180,4,4.0,78,0,67383,2,67.0
0.37,2,0.2,10,320,180,4,3.01,16,0,26922,2,63.0
0.34,1,0.33,12,320,180,4,4.0,21,0,37944,2,51.5
0.29,1,0.16,10,320,180,3,4.0,42,0,37910,2,57.75
0.24,0,0.0,14,320,180,1,4.0,26,0,51224,1,41.25
0.19,0,0.0,8,320,180,2,3.0,74,0,39329,1,53.33
0.18,0,0.0,11,320,180,2,4.0,32,0,40754,1,42.75
0.15,0,0.0,10,320,180,2,3.0,37,0,41791,2,41.67
0.14,0,0.0,16,320,180,3,2.99,82,0,64680,2,39.0
0.12,2,0.33,10,320,180,1,4.0,60,0,64642,2,39.25
0.13,1,0.11,10,320,180,1,4.0,83,0,64939,3,39.5
0.12,1,0.12,8,320,180,1,4.0,47,0,47696,1,42.75
0.12,1,0.12,8,320,180,1,3.98,91,0,52455,1,42.25
0.1,1,0.2,9,320,180,2,4.02,69,0,54741,1,45.75
0.1,0,0.0,8,320,180,4,3.0,100,0,54980,3,37.67
0.09,1,0.11,9,320,180,3,1.0,247,0,69232,1,62.0
0.12,1,0.25,9,320,180,4,2.0,62,0,43796,1,79.5
0.13,1,0.16,9,320,180,3,1.98,202,0,70718,2,66.0
0.14,1,0.12,6,320,180,4,2.1,34,0,35848,1,54.0
0.13,2,0.33,11,320,180,4,2.88,133,2,79559,0,56.67
0.13,1,0.1,11,320,180,4,1.0,403,5,94082,0,79.0
0.17,0,0.0,10,320,180,3,0.0,173,0,24727,0,0.0
0.17,0,0.0,21,320,180,3,1.0,5,0,12572,0,100.0
0.2,0,0.0,24,320,180,4,1.0,13,0,24237,0,60.0
0.19,2,0.5,10,320,180,3,1.0,27,0,22804,1,87.0
0.18,0,0.0,9,320,180,4,2.0,303,0,73516,0,85.5
0.19,2,0.25,9,320,180,3,3.97,72,0,68737,3,76.0
0.17,1,0.16,10,320,180,4,3.02,120,0,61820,2,60.67
0.15,1,0.11,7,320,180,3,3.94,21,0,27183,0,58.25
0.13,0,0.0,7,320,180,4,3.05,105,0,47960,0,62.33
0.12,1,0.14,11,320,180,3,3.99,125,0,74739,1,50.5
0.13,2,0.22,10,320,180,4,3.99,91,0,62103,1,58.0
0.12,0,0.0,9,320,180,3,4.02,139,0,59546,1,60.25
0.13,2,0.25,8,320,180,3,2.99,97,0,56191,0,47.0
0.13,1,0.0,10,320,180,2,3.01,164,0,66954,1,59.67
0.13,1,0.11,9,320,180,4,4.0,113,0,58495,0,58.5
0.12,1,0.11,9,320,180,2,2.99,87,0,59586,1,46.67
0.11,0,0.0,6,320,180,3,4.01,17,0,27925,0,51.25
0.11,0,0.0,7,320,180,4,2.97,166,0,49557,0,58.67
0.11,1,0.12,9,320,180,3,4.13,57,0,68123,1,40.75
0.1,1,0.2,10,320,180,4,2.94,123,0,65987,1,52.33
0.11,2,0.2,9,320,180,3,4.0,126,0,67198,0,50.0
0.1,1,0.14,10,320,180,4,3.01,108,0,75903,3,49.33
0.11,2,0.33,9,320,180,3,4.0,68,0,70319,3,54.5
