remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.21,0,0.5,0,640,360,1,0.0,0,0,0,0,0.0
0.21,0,0.0,1,640,360,3,0.61,8,0,369,0,161.0
0.21,0,0.0,0,640,360,2,0.0,0,0,0,0,0.0
0.21,0,0.0,0,640,360,3,0.0,0,0,0,0,0.0
0.21,0,0.0,0,640,360,4,0.0,0,0,0,0,0.0
0.21,0,0.0,14,640,360,5,3.35,105,0,39180,1,122.8
0.3,6,0.57,2,640,360,5,0.0,247,0,11114,4,0.0
0.3,0,0.57,4,640,360,5,1.96,9,0,28281,0,153.0
0.3,0,0.0,8,640,360,5,1.99,237,0,57467,1,208.0
0.3,0,0.0,11,640,360,3,4.14,850,0,85779,1,170.5
0.29,1,0.11,10,640,360,2,5.0,1164,0,78687,2,177.0
0.25,2,0.18,15,640,360,6,4.98,818,0,84148,2,178.0
0.23,1,0.09,14,640,360,5,5.0,106,0,61209,5,148.6
0.22,4,0.4,11,640,360,6,5.01,140,0,73251,1,186.0
0.19,2,0.2,10,640,360,5,2.93,249,0,62718,1,185.0
0.18,0,0.0,4,640,360,6,2.05,4,0,15909,2,208.0
0.19,1,0.16,10,640,360,4,5.95,26,0,48896,1,140.17
0.2,0,0.0,11,640,360,5,5.04,68,0,40734,2,168.6
0.17,4,0.36,12,640,360,8,5.87,87,0,45922,2,147.5
0.14,2,0.0,5,640,360,9,4.07,13,0,23693,2,124.0
0.1,4,0.5,11,640,360,5,6.04,38,0,50833,2,122.83
0.09,0,0.0,5,640,360,2,3.96,36,0,19168,0,115.75
0.08,1,0.16,8,640,360,2,4.04,63,0,50779,1,105.25
0.07,1,0.12,14,640,360,4,7.98,218,0,83079,2,178.88
0.07,0,0.12,16,640,360,3,8.03,178,0,76163,3,155.75
0.08,8,0.18,14,640,360,1,4.86,205,0,86558,4,186.8
0.09,3,0.33,9,640,360,7,2.05,156,0,62344,2,187.5
0.09,1,0.25,5,640,360,5,1.97,55,0,29639,1,208.0
0.1,1,0.25,8,640,360,6,4.06,48,0,52283,1,203.0
0.1,1,0.2,8,640,360,7,1.98,102,0,49505,1,197.5
0.1,0,0.2,5,640,360,7,1.01,18,0,28179,3,208.0
0.1,2,0.0,11,640,360,6,6.98,66,0,48854,1,204.43
0.09,2,0.22,9,640,360,7,3.97,74,0,50438,2,182.0
