remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.06,0,0.25,0,480,270,3,0.0,0,0,0,0,0.0
0.06,1,0.12,4,480,270,1,0.92,42,0,31688,1,96.0
0.06,0,0.12,4,480,270,1,1.85,42,0,33059,0,66.0
0.06,0,0.0,11,480,270,2,0.0,91,0,94696,0,0.0
0.07,0,0.0,10,480,270,5,2.27,61,0,84298,0,81.5
0.07,0,0.0,9,480,270,6,5.18,38,0,63018,0,170.0
0.05,0,0.0,7,480,270,4,6.03,32,0,25924,0,111.0
0.04,0,0.0,28,480,270,4,4.01,99,0,249840,0,101.0
0.05,0,0.0,22,480,270,3,3.98,91,0,185546,0,135.5
0.05,1,0.04,16,480,270,3,3.01,62,0,129088,1,106.67
0.05,0,0.0,10,480,270,3,3.01,52,0,80775,0,97.0
0.05,1,0.07,14,480,270,3,2.98,55,0,113765,1,74.33
0.05,2,0.12,21,480,270,3,4.0,53,0,179782,2,62.5
0.04,4,0.17,36,480,270,2,3.02,80,0,326384,3,66.67
0.05,0,0.0,20,480,270,3,1.99,100,0,174603,0,51.0
0.06,3,0.11,29,480,270,3,4.01,74,0,254889,2,51.5
0.07,2,0.0,32,480,270,3,2.99,82,0,277650,2,51.0
0.07,3,0.11,46,480,270,4,4.01,94,0,404985,3,46.75
0.08,5,0.11,31,640,360,3,4.0,135,0,267188,3,168.0
0.08,1,0.05,23,640,360,1,3.01,125,0,187488,1,128.67
0.09,2,0.1,7,640,360,3,1.71,29,0,54367,2,113.0
0.09,0,0.0,11,640,360,4,3.61,26,0,77599,1,113.67
0.13,1,0.11,48,640,360,3,4.0,165,0,434963,0,117.25
0.11,0,0.0,34,640,360,4,3.97,110,0,295755,2,117.5
0.12,2,0.04,22,640,360,3,4.03,48,0,181910,1,96.75
0.11,2,0.09,19,640,360,3,2.98,50,0,150388,2,83.67
0.1,2,0.09,50,640,360,3,4.03,87,0,449162,1,63.5
0.09,2,0.08,38,640,360,4,3.0,85,0,333220,3,69.33
0.11,2,0.04,35,640,360,3,3.99,72,0,310582,1,65.0
0.1,2,0.07,39,640,360,4,3.0,83,0,345272,3,52.67
0.1,2,0.0,30,640,360,3,4.0,61,0,259430,1,51.0
0.11,3,0.08,34,640,360,3,2.99,88,0,295130,4,59.33
0.11,5,0.12,53,640,360,3,3.01,104,0,475360,3,49.0
0.12,3,0.08,46,640,360,4,3.0,122,0,416748,3,44.67
0.12,4,0.11,49,640,360,2,3.99,128,0,440124,7,48.0
0.12,5,0.12,47,640,360,4,1.99,118,0,425485,3,58.5
0.14,3,0.06,58,960,540,4,3.93,228,0,505802,2,142.0
0.16,4,0.07,69,960,540,4,4.06,116,0,628690,5,119.75
0.16,2,0.04,43,960,540,4,4.03,54,0,378850,1,109.75
0.15,2,0.04,46,960,540,3,3.99,57,0,405651,1,97.5
0.13,2,0.0,57,960,540,3,2.99,67,0,497084,4,85.0
0.12,4,0.07,40,960,540,3,3.02,67,0,363998,2,86.33
0.11,4,0.1,89,960,540,4,3.99,105,0,802869,6,70.75
0.12,8,0.11,78,960,540,4,4.01,82,0,699910,7,66.25
0.11,5,0.07,69,960,540,3,3.99,75,0,615276,3,58.0
