remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.12,0,0.0,0,1280,720,1,0.0,0,0,0,0,0.0
0.22,0,0.0,9,1280,720,1,2.28,1176,0,71456,0,135.57
0.24,0,0.0,3,1280,720,2,2.22,52,0,21718,0,140.0
0.21,0,0.0,2,1280,720,1,1.02,284,0,17501,0,104.0
0.21,0,0.0,0,1280,720,1,0.0,0,0,0,0,0.0
0.21,0,0.0,16,1280,720,1,0.0,63,0,137918,0,0.0
0.22,0,0.0,45,1280,720,1,0.91,311,0,394117,0,99.0
0.25,0,0.0,106,1280,720,3,3.26,117,0,977772,0,73.33
0.22,0,0.0,130,1280,720,4,4.1,121,0,1193948,0,66.75
0.22,0,0.0,167,1280,720,3,2.9,157,0,1537325,0,85.67
0.21,0,0.0,145,1280,720,2,2.2,211,0,1342116,0,65.0
0.22,0,0.0,143,1280,720,3,2.86,189,0,1322752,0,87.0
0.22,0,0.0,168,1280,720,2,2.1,263,0,1549079,0,114.0
0.23,0,0.0,215,1280,720,2,2.86,247,0,1991599,0,88.0
0.24,0,0.0,95,1280,720,3,2.95,125,0,872120,0,116.33
0.24,0,0.0,82,1280,720,2,2.04,275,0,763586,0,119.5
0.2,0,0.0,91,1280,720,3,2.98,118,0,836002,0,61.0
0.19,0,0.0,72,1280,720,3,2.99,102,0,657889,0,54.33
0.19,0,0.0,252,1280,720,3,3.02,406,0,2337226,0,79.33
0.22,0,0.0,167,1280,720,2,1.99,287,0,1548813,0,84.0
0.23,0,0.0,171,1280,720,3,2.94,210,0,1585563,0,86.0
0.23,0,0.0,125,1280,720,1,1.01,307,0,1143964,0,133.0
0.23,0,0.0,157,1280,720,2,2.03,265,0,1459315,0,90.5
0.26,0,0.0,227,1280,720,3,2.99,355,0,2110803,0,95.33
0.27,0,0.0,122,1280,720,3,2.03,155,0,1128809,0,76.5
0.26,0,0.0,72,1280,720,2,1.97,373,0,657697,0,123.0
