remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.24,0,0.2,0,1280,720,2,0.0,0,0,0,0,0.0
0.24,0,0.0,28,1280,720,2,2.12,278,2,245804,0,116.67
0.26,2,0.06,44,1280,720,2,1.78,666,0,400688,3,114.0
0.26,5,0.14,48,1280,720,3,2.64,948,0,435594,5,116.0
0.27,4,0.09,44,1280,720,2,3.04,1285,0,404277,3,124.67
0.27,2,0.05,39,1280,720,3,2.0,1636,0,353105,4,142.0
0.28,2,0.14,37,1280,720,3,3.0,1438,3,336316,4,109.33
0.31,3,0.11,33,1280,720,1,2.97,1230,3,294822,2,167.67
0.29,8,0.17,37,1280,720,1,0.99,1274,1,328234,5,100.0
0.31,3,0.09,35,1280,720,2,0.0,1314,0,318894,1,0.0
0.31,1,0.03,13,1280,720,4,1.0,1680,0,110310,1,197.0
0.42,0,0.0,1,1280,720,3,0.0,0,0,9231,1,0.0
0.42,0,0.0,12,1280,720,1,2.0,139,0,103578,0,137.0
0.37,1,0.08,1,1280,720,2,0.0,0,0,7077,1,0.0
0.37,1,0.25,15,1280,720,2,4.12,97,0,125264,1,137.0
0.32,1,0.1,22,1280,720,2,2.99,269,0,191796,3,152.0
0.29,2,0.09,23,1280,720,2,0.0,985,0,208956,1,0.0
0.29,1,0.0,9,1280,720,1,1.0,1238,0,81264,0,208.0
0.38,2,0.22,21,1280,720,1,2.0,363,0,190064,1,150.5
0.37,1,0.05,22,1280,720,4,2.01,1136,0,200813,1,150.0
0.39,3,0.15,22,1280,720,3,1.0,1225,0,190478,3,119.0
0.4,2,0.11,21,1280,720,3,2.0,1259,3,191148,2,185.5
0.38,2,0.1,19,1280,720,4,1.0,1449,4,167321,2,157.0
0.38,1,0.06,18,1280,720,4,1.01,619,1,161758,2,196.0
0.48,1,0.07,1,1280,720,3,0.0,0,0,9198,1,0.0
0.45,1,0.0,30,960,540,5,4.0,91,0,206293,0,176.75
0.42,6,0.28,38,960,540,4,2.98,126,0,337343,0,141.0
0.37,1,0.03,32,960,540,4,3.0,130,3,278380,0,139.33
0.3,2,0.05,32,960,540,3,4.02,65,0,271533,2,115.75
0.26,2,0.0,60,960,540,2,4.0,140,0,542868,2,101.75
0.24,4,0.06,50,960,540,4,3.0,96,0,443882,6,101.33
0.21,3,0.07,55,960,540,4,5.01,108,0,491267,3,97.8
0.19,6,0.11,44,960,540,4,4.0,70,0,392025,8,80.5
0.18,7,0.2,67,960,540,4,3.99,169,0,611948,6,85.0
0.18,9,0.13,73,960,540,4,3.01,357,0,672154,6,140.0
0.19,5,0.07,29,960,540,3,1.98,434,0,256972,6,139.5
0.19,1,0.06,33,960,540,2,4.01,75,0,296400,1,95.25
0.17,3,0.0,38,960,540,4,4.02,87,0,329333,3,81.25
0.16,2,0.5,36,960,540,2,4.0,107,0,323192,3,72.0
0.15,7,0.17,70,960,540,3,3.97,193,0,633764,6,89.5
0.17,5,0.08,52,960,540,3,4.02,364,0,461444,6,114.0
0.18,5,0.15,31,960,540,5,3.01,88,0,271201,4,81.33
0.18,0,0.0,58,960,540,6,1.99,427,0,528567,5,78.0
0.17,4,0.09,29,960,540,5,4.0,218,0,240117,4,119.75
0.2,3,0.07,52,960,540,5,2.0,237,0,471212,5,87.0
0.19,5,0.12,41,960,540,6,3.01,272,0,366626,5,123.67
0.22,6,0.15,19,960,540,5,3.01,87,0,161609,2,145.0
0.19,4,0.05,35,960,540,4,4.99,148,0,309661,1,107.4
0.19,0,0.0,50,960,540,2,6.02,256,0,429374,4,113.5
0.17,4,0.09,22,960,540,1,4.99,41,0,177929,5,93.0
0.15,6,0.16,25,960,540,1,4.98,87,0,209328,1,86.2
0.13,1,0.0,30,960,540,4,6.02,65,0,250948,2,67.67
0.11,4,0.19,35,960,540,1,5.01,152,0,299429,5,69.6
0.11,4,0.14,38,960,540,3,3.96,477,0,331597,4,110.75
0.11,4,0.0,36,960,540,3,2.02,313,0,327888,4,93.0
0.14,3,0.09,9,960,540,1,1.0,268,0,80047,4,184.0
0.15,3,0.13,24,960,540,3,1.0,357,0,218412,1,85.0
0.18,0,0.0,26,960,540,4,3.97,273,0,234658,1,113.75
0.21,1,0.06,27,960,540,5,0.0,439,0,242574,4,0.0
0.21,4,0.12,5,960,540,4,1.0,71,0,40711,0,162.0
0.24,1,0.07,21,960,540,3,3.01,99,2,174958,3,165.33
0.22,2,0.33,24,960,540,4,2.98,191,1,195418,3,142.67
0.2,4,0.22,31,960,540,3,1.01,495,0,286910,3,65.0
0.21,5,0.21,3,960,540,4,0.0,0,0,27409,3,0.0
0.21,2,0.11,1,960,540,4,0.0,0,0,9317,1,0.0
0.21,0,0.0,31,960,540,4,3.0,270,3,263690,3,151.33
0.27,3,0.07,54,960,540,5,4.01,141,0,484979,2,94.5
0.23,3,0.05,27,960,540,4,5.0,55,0,226358,2,84.2
0.19,4,0.14,28,1280,720,4,4.0,73,0,220727,3,150.25
0.16,7,0.2,76,1280,720,5,3.0,127,0,682820,7,126.0
0.16,7,0.18,37,1280,720,4,4.0,48,0,328738,4,128.5
0.13,7,0.18,53,1280,720,5,3.0,83,0,484635,6,107.67
0.15,2,0.05,52,1280,720,5,4.0,418,0,476472,3,107.25
0.15,0,0.0,58,1280,720,2,2.99,146,0,523995,5,109.33
0.18,6,0.12,87,1280,720,3,4.0,179,0,793204,4,99.75
0.17,10,0.15,80,1280,720,5,5.0,318,0,720616,7,112.6
0.18,6,0.0,56,1280,720,3,4.01,104,0,494986,5,103.5
0.18,3,0.05,78,1280,720,1,4.0,156,0,716344,3,97.75
0.17,7,0.1,71,1280,720,1,4.98,165,0,633384,9,102.8
0.17,6,0.11,59,1280,720,1,4.01,106,2,526287,5,100.75
0.16,5,0.09,76,1280,720,2,4.98,212,1,687071,7,101.6
0.17,10,0.33,72,1280,720,1,5.01,346,0,661417,8,133.0
0.17,5,0.08,52,1280,720,2,2.01,314,0,464611,4,159.5
0.18,4,0.06,22,1280,720,3,2.99,63,0,183725,2,164.0
0.18,3,0.0,36,1280,720,1,5.02,110,0,306692,2,150.4
0.16,3,0.0,43,1280,720,6,3.0,239,0,390432,1,129.67
0.14,3,0.33,65,1280,720,4,1.0,549,0,596801,6,106.0
0.16,9,0.14,38,1280,720,4,0.99,878,0,345124,8,176.0
0.16,5,0.16,12,1280,720,5,1.0,105,0,108679,0,122.0
0.22,0,0.0,53,1280,720,5,2.02,316,3,474468,3,159.0
0.22,4,0.08,3,1280,720,6,0.0,0,0,27686,3,0.0
0.22,1,0.0,1,1280,720,3,0.99,32,0,3954,0,195.0
0.25,0,0.0,8,1280,720,6,1.37,341,0,63967,0,186.0
0.24,0,0.0,34,1280,720,3,3.79,238,0,314179,0,123.0
0.27,1,0.05,53,1280,720,7,2.99,371,0,478383,2,142.67
0.27,4,0.07,42,1280,720,6,1.01,379,0,393240,4,146.0
0.3,3,0.07,30,1280,720,4,5.99,125,0,254466,1,152.5
0.26,3,0.11,36,1280,720,1,3.98,103,0,304273,4,195.0
0.2,1,0.03,29,1280,720,6,3.94,210,0,248498,3,166.75
0.2,3,0.11,57,1280,720,5,5.09,170,0,512255,3,153.2
0.19,6,0.11,51,1280,720,5,4.97,175,0,462680,5,165.2
0.18,5,0.11,38,1280,720,4,5.98,133,0,314834,3,146.83
0.15,1,0.0,25,1280,720,5,3.03,186,0,224402,0,142.0
0.16,1,0.04,36,1280,720,6,5.95,96,0,314449,1,126.5
0.14,3,0.08,39,1280,720,5,3.03,119,0,347924,5,122.67
0.15,4,0.12,53,1280,720,6,6.94,383,0,473133,2,144.14
0.14,2,0.04,42,1280,720,5,6.05,284,0,361061,6,133.5
0.13,8,0.21,49,1280,720,6,3.98,314,0,437820,1,144.25
0.12,4,0.08,16,1280,720,4,1.0,416,0,146063,3,188.0
0.15,3,0.21,17,1280,720,5,5.99,56,0,134253,2,154.83
0.12,3,0.25,24,1280,720,5,4.86,92,0,194494,3,135.2
0.11,2,0.09,31,1280,720,4,5.15,132,0,260471,1,130.2
0.11,1,0.04,28,1280,720,4,4.01,148,0,242674,3,136.75
0.12,4,0.12,34,1280,720,3,4.99,194,0,281011,3,132.0
0.11,2,0.07,25,1280,720,3,6.01,104,0,204364,2,148.17
0.12,3,0.12,24,1280,720,2,3.99,97,0,198097,6,143.0
0.11,2,0.11,31,1280,720,3,6.0,147,0,259093,2,154.17
0.11,3,0.09,29,1280,720,2,5.0,239,0,235460,2,138.2
0.12,7,0.23,34,1280,720,2,5.99,209,0,282021,6,153.83
0.13,1,0.04,27,1280,720,1,4.02,199,0,207623,2,167.75
0.13,3,0.13,16,1280,720,2,4.99,63,0,123369,3,172.4
0.11,0,0.0,12,1280,720,1,4.99,76,0,89767,0,157.4
0.1,2,0.14,22,1280,720,3,3.0,180,0,189742,2,164.67
0.11,3,0.14,23,1280,720,1,4.02,133,0,190084,2,178.75
0.12,1,0.07,13,1280,720,2,2.98,164,0,98706,1,177.33
0.13,1,0.09,14,1280,720,2,3.01,141,0,121730,1,168.67
0.13,1,0.05,14,1280,720,2,1.0,225,0,124386,1,207.0
0.15,0,0.0,14,1280,720,1,3.01,165,0,128805,0,171.67
0.14,6,0.0,15,1280,720,2,1.98,255,0,129726,5,192.5
0.16,2,0.4,17,1280,720,2,2.02,283,0,139774,2,148.0
0.15,0,0.0,5,1280,720,2,0.99,101,0,44973,1,198.0
0.18,0,0.0,0,1280,720,2,0.0,0,0,0,0,0.0
0.18,0,0.0,0,1280,720,2,0.0,0,0,0,0,0.0
0.18,0,0.0,12,1280,720,2,2.09,321,2,101854,0,128.5
0.18,0,0.0,19,1280,720,1,1.0,662,0,171044,4,201.0
0.19,6,0.13,12,1280,720,2,0.0,1192,0,107388,2,0.0
0.19,0,0.13,13,1280,720,5,3.14,124,0,100885,1,139.67
0.28,1,0.12,8,1280,720,4,0.0,474,0,69536,1,0.0
0.26,1,0.07,1,1280,720,4,1.01,20,0,573,0,206.0
0.28,0,0.0,5,1280,720,2,1.99,116,0,39878,0,147.0
0.26,0,0.0,15,1280,720,1,2.01,304,0,128944,2,135.0
0.24,2,0.13,3,1280,720,3,2.0,17,0,17988,1,173.5
0.25,1,0.33,4,1280,720,2,0.0,115,0,31095,1,0.0
0.24,1,0.25,14,1280,720,4,1.0,467,0,127835,0,108.0
0.24,0,0.0,1,1280,720,6,0.0,967,0,8992,0,0.0
0.24,0,0.0,12,1280,720,5,2.01,277,0,101945,0,151.5
0.27,0,0.0,10,1280,720,5,2.0,404,0,80569,0,134.5
0.3,0,0.0,17,1280,720,5,0.0,752,0,150145,0,0.0
0.29,0,0.0,5,1280,720,5,2.0,52,0,43822,1,148.5
0.34,1,0.0,17,1280,720,5,1.99,324,0,146149,0,153.5
0.31,0,0.0,15,1280,720,2,0.0,997,0,135584,1,0.0
0.31,2,0.13,1,1280,720,2,0.0,0,0,8953,1,0.0
0.31,0,0.0,15,1280,720,2,2.0,258,0,132293,1,146.0
0.37,1,0.1,11,1280,720,1,2.0,268,0,95238,1,150.0
0.36,4,0.4,15,1280,720,2,0.0,976,0,140064,2,0.0
0.36,3,0.23,13,1280,720,4,1.0,730,3,113509,2,208.0
0.46,0,0.0,6,960,540,3,2.01,213,0,45557,0,208.0
0.45,0,0.0,9,960,540,5,4.98,52,0,55199,0,204.4
0.35,0,0.0,10,960,540,3,4.0,142,0,63859,1,192.5
0.3,2,0.22,13,960,540,2,4.02,131,0,104360,2,168.25
0.24,1,0.11,5,960,540,2,2.0,279,0,38755,0,171.0
0.27,0,0.0,8,960,540,1,1.0,196,0,69040,2,185.0
