remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.09,0,0.03,0,1280,720,3,0.0,0,0,0,0,0.0
0.11,4,0.0,17,1280,720,1,1.18,131,0,151982,1,107.5
0.11,0,0.0,7,1280,720,2,3.72,131,0,68039,0,91.0
0.1,0,0.0,27,1280,720,2,1.08,160,0,244673,1,112.0
0.11,1,0.04,38,1280,720,2,1.96,228,0,346500,0,95.5
0.11,0,0.0,93,1280,720,4,4.01,155,0,855188,4,81.75
0.12,5,0.09,80,1280,720,4,4.02,149,0,730011,4,71.5
0.11,4,0.04,90,1280,720,5,4.98,156,0,801841,5,57.8
0.1,5,0.07,77,1280,720,5,4.9,151,0,706372,3,52.4
0.09,5,0.06,75,1280,720,4,3.96,151,0,687492,4,43.25
0.09,6,0.08,90,1280,720,4,4.07,158,0,820212,7,38.25
0.09,3,0.04,113,1280,720,5,5.08,170,0,1023285,1,31.8
0.09,3,0.03,101,1280,720,4,3.94,165,0,916134,3,30.75
0.1,4,0.0,101,1280,720,4,4.01,151,0,921504,8,28.0
0.1,6,0.06,132,1280,720,5,5.03,173,0,1207924,3,25.6
0.1,4,0.04,168,1280,720,2,2.96,273,0,1557301,3,23.67
0.1,5,0.03,219,1280,720,3,3.06,314,0,2022993,9,39.0
0.13,9,0.06,141,1280,720,5,4.86,273,0,1287509,11,70.4
0.14,10,0.07,161,1280,720,4,4.09,223,0,1477146,8,38.75
0.14,10,0.05,155,1280,720,3,2.98,246,0,1420533,5,45.0
0.15,5,0.03,165,1280,720,4,4.05,219,0,1511844,5,58.0
0.15,4,0.03,175,1280,720,3,2.97,285,0,1619075,3,90.33
0.16,3,0.02,143,1280,720,4,4.04,241,0,1323225,8,96.75
0.16,8,0.05,80,1280,720,4,4.0,171,0,723367,4,83.0
0.15,4,0.04,116,1280,720,5,5.02,187,0,1066160,4,56.0
0.13,6,0.07,133,1280,720,4,3.9,197,0,1209060,6,41.75
0.13,5,0.04,137,1280,720,4,4.01,206,0,1258403,3,37.5
0.12,6,0.16,173,1280,720,5,5.13,211,0,1583515,8,35.8
0.13,15,0.08,185,1280,720,4,2.98,254,0,1713920,9,43.0
0.14,11,0.06,166,1280,720,4,4.93,204,0,1532565,10,41.6
0.14,5,0.04,148,1280,720,5,4.43,338,0,1352563,5,37.5
0.15,4,0.03,268,1280,720,4,3.2,296,0,2482950,4,56.0
0.16,17,0.07,109,1280,720,3,2.96,195,6,1002345,4,77.0
0.16,9,0.07,184,1280,720,4,3.96,303,0,1701720,9,61.0
0.17,10,0.05,188,1280,720,4,4.09,249,0,1728410,9,72.0
0.16,6,0.0,164,1280,720,5,5.0,246,0,1510351,4,78.0
0.16,7,0.05,137,1280,720,4,3.98,204,0,1255328,5,76.5
0.14,8,0.05,174,1280,720,5,5.03,205,0,1598069,11,58.6
0.14,11,0.06,203,1280,720,5,4.94,255,0,1880970,9,69.8
0.15,7,0.04,159,1280,720,4,3.98,210,0,1456254,6,63.5
0.15,7,0.05,149,1280,720,4,3.96,226,0,1364315,10,59.5
0.15,10,0.06,187,1280,720,4,4.1,250,0,1727452,7,60.75
0.15,7,0.04,125,1280,720,3,3.01,225,0,1155340,9,60.0
0.15,10,0.07,186,1280,720,3,2.99,327,0,1712174,11,94.67
0.15,6,0.04,56,1280,720,4,4.0,158,0,502852,4,184.25
0.15,3,0.13,129,1280,720,3,3.02,211,0,1184122,2,113.0
0.15,6,0.05,59,1280,720,2,2.01,168,0,543107,5,112.5
0.15,1,0.02,157,1280,720,3,3.0,235,0,1451713,3,108.67
0.14,7,0.05,129,1280,720,3,3.0,217,0,1198698,14,121.33
0.16,15,0.1,159,1280,720,3,3.0,238,0,1465993,8,110.67
0.16,6,0.06,64,1280,720,2,1.95,131,0,581614,9,116.0
0.15,8,0.07,131,1280,720,3,3.07,230,0,1213978,6,112.0
0.15,7,0.06,143,1280,720,3,2.96,263,0,1320482,4,98.33
0.14,3,0.04,193,1280,720,3,2.02,258,0,1787473,6,98.0
0.15,12,0.06,190,1280,720,3,3.0,241,0,1764567,9,88.33
0.17,12,0.06,192,1280,720,3,2.99,257,0,1778433,14,86.33
0.17,9,0.04,120,1280,720,3,3.03,206,3,1115578,3,105.67
0.18,2,0.0,177,1280,720,3,3.0,249,0,1626936,5,86.33
0.17,7,0.04,169,1280,720,3,3.0,222,0,1559521,9,92.0
0.18,10,0.0,140,1280,720,3,2.99,202,0,1291997,10,111.0
0.18,12,0.0,113,1280,720,3,3.01,233,0,1034349,5,95.67
0.18,5,0.05,107,1280,720,2,2.0,200,0,982268,4,54.5
0.19,4,0.07,171,1280,720,3,2.93,230,0,1574888,7,84.0
0.18,10,0.05,220,1280,720,3,3.03,329,0,2034355,12,91.33
0.2,12,0.05,167,1280,720,3,3.02,315,0,1547626,11,111.0
0.2,6,0.06,128,1280,720,3,3.02,236,0,1181534,4,117.0
0.21,4,0.02,83,1280,720,4,3.98,259,0,745512,8,114.0
0.2,10,0.1,100,1280,720,3,3.0,186,0,907280,4,93.67
0.17,4,0.04,199,1280,720,3,3.01,256,0,1834089,3,59.33
0.16,6,0.05,224,1280,720,3,3.0,336,0,2077844,9,96.0
0.17,8,0.04,200,1280,720,3,3.0,269,0,1847432,12,95.33
0.18,13,0.0,114,1280,720,3,2.98,217,0,1054296,8,139.33
0.18,8,0.05,196,1280,720,3,3.0,290,0,1815085,7,108.67
0.18,10,0.05,164,1280,720,4,4.0,284,0,1515935,7,129.25
0.17,7,0.05,145,1280,720,2,2.0,279,0,1343727,12,102.0
