remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.13,0,0.22,0,320,180,5,0.0,0,0,0,0,0.0
0.16,0,0.0,0,320,180,6,0.0,0,0,0,0,0.0
0.15,0,0.0,6,320,180,5,2.02,134,0,44317,0,66.0
0.15,0,0.0,10,320,180,2,4.0,155,0,73543,0,67.25
0.15,1,0.33,6,320,180,2,2.0,231,0,44943,0,84.5
0.15,2,0.33,7,320,180,3,3.97,43,0,41527,0,98.0
0.14,3,0.33,6,320,180,6,5.02,24,0,13080,0,103.4
0.14,0,0.33,7,320,180,6,6.02,55,0,35472,0,76.67
0.1,7,0.33,2,320,180,5,0.0,233,0,16362,0,0.0
0.08,1,0.0,5,320,180,6,2.97,48,0,36744,0,103.33
0.08,0,0.0,3,320,180,2,2.0,51,0,25235,0,105.0
0.08,2,0.4,3,320,180,2,2.99,18,0,21373,0,105.67
0.08,0,0.0,6,320,180,6,4.88,26,0,30536,0,100.0
0.08,1,0.33,7,320,180,6,6.12,23,0,48960,0,93.33
0.06,1,0.2,7,320,180,3,4.99,36,0,47337,0,85.8
0.06,3,0.43,5,320,180,2,2.01,69,0,31576,0,98.0
0.05,1,0.14,4,320,180,3,1.99,83,0,22351,0,100.5
0.06,1,0.16,5,320,180,2,3.18,44,0,29010,0,102.0
0.06,1,0.2,7,320,180,4,6.67,14,0,42028,0,105.71
0.07,2,0.66,6,320,180,3,6.03,15,0,26734,0,105.5
0.06,5,0.71,7,320,180,3,5.0,34,0,40337,0,98.8
0.05,1,0.25,6,320,180,2,5.97,13,0,34946,0,106.0
0.04,3,0.33,5,320,180,3,2.73,42,0,23930,0,106.0
0.04,3,0.16,1,320,180,4,0.58,14,0,4512,0,106.0
0.04,0,0.16,0,320,180,6,0.0,0,0,0,0,0.0
0.04,0,0.0,3,320,180,6,1.99,52,0,22764,0,84.0
0.04,0,0.0,11,320,180,4,6.05,87,0,71475,0,74.17
0.04,1,0.0,12,320,180,4,5.9,205,0,85182,0,97.17
0.05,4,0.5,7,320,180,2,3.04,59,0,38674,0,105.33
0.05,1,0.1,4,320,180,5,2.0,66,0,26483,0,105.0
0.06,3,0.25,6,320,180,5,3.02,58,0,44258,0,97.0
0.05,2,0.4,4,320,180,1,1.96,46,0,24827,0,99.5
0.05,0,0.0,5,320,180,1,4.08,25,0,32359,0,104.5
0.05,3,0.5,4,320,180,1,3.0,29,0,25397,0,106.0
0.05,1,0.2,6,320,180,8,3.0,44,0,31837,0,106.0
0.05,2,0.0,4,320,180,7,2.0,55,0,27051,0,106.0
0.04,0,0.0,3,320,180,4,3.01,12,0,16501,0,106.0
0.05,2,0.5,5,320,180,3,3.99,61,0,25503,0,103.0
0.04,2,0.5,8,320,180,3,5.97,32,0,47471,0,99.33
0.04,2,0.5,7,320,180,1,5.95,23,0,42332,0,102.33
0.03,1,0.16,5,320,180,1,4.05,31,0,33776,0,105.5
0.03,2,0.28,7,320,180,3,3.94,46,0,37413,0,106.0
0.03,1,0.14,4,320,180,6,2.02,97,0,20606,0,106.0
0.03,1,0.16,5,320,180,8,5.0,18,0,30229,0,106.0
0.03,2,0.33,5,320,180,4,4.96,14,0,20047,0,102.2
0.03,3,0.33,1,320,180,2,0.7,1535,0,8981,0,76.0
0.03,0,0.33,0,320,180,5,0.0,0,0,0,0,0.0
0.03,0,0.33,0,320,180,5,0.0,0,0,0,0,0.0
0.1,2,0.0,7,320,180,6,6.14,34,0,36898,0,35.44
0.25,0,0.0,9,320,180,4,6.56,65,0,62899,0,43.4
0.25,0,0.0,8,320,180,3,2.63,157,0,58375,0,90.5
0.24,2,0.25,4,320,180,4,3.05,43,0,31977,0,100.0
0.2,3,0.37,5,320,180,4,2.96,44,0,34510,0,103.67
0.2,4,0.44,1,320,180,5,1.02,10,0,7498,0,106.0
0.14,3,0.5,0,320,180,4,0.0,0,0,0,0,0.0
0.14,0,0.5,0,320,180,5,0.0,0,0,0,0,0.0
0.14,0,0.5,15,320,180,3,7.25,50,0,77712,0,78.0
0.14,0,0.0,17,320,180,2,3.15,167,0,63939,0,41.67
0.14,0,0.0,12,320,180,3,6.99,380,0,85932,0,47.71
0.14,1,0.0,12,320,180,5,7.98,436,0,83417,0,94.25
0.13,6,0.0,7,320,180,6,3.96,120,0,46815,0,104.25
0.12,3,0.33,2,320,180,4,2.03,7,0,14584,0,106.0
0.11,7,0.58,6,320,180,3,4.97,21,0,39118,0,106.0
0.11,0,0.0,5,320,180,1,5.01,13,0,32704,0,106.0
0.09,1,0.2,6,320,180,3,5.98,8,0,42093,0,106.0
0.08,3,0.43,4,320,180,3,4.0,9,0,31233,0,106.0
0.06,1,0.25,4,320,180,4,2.97,24,0,26082,0,106.0
0.06,2,0.5,4,320,180,3,4.01,14,0,33392,0,106.0
0.05,2,0.4,4,320,180,3,4.05,11,0,23596,0,106.0
0.05,0,0.0,5,320,180,1,4.97,10,0,22470,0,106.0
0.04,1,0.2,5,320,180,3,3.98,28,0,23298,0,105.0
0.03,1,0.2,7,320,180,5,5.06,27,0,40532,0,105.6
0.03,3,0.6,5,320,180,5,2.95,45,0,30139,0,105.33
0.03,1,0.2,1,320,180,5,2.03,26,0,6383,0,104.5
0.03,4,0.57,4,320,180,2,3.0,9,0,23212,0,104.33
0.03,0,0.0,9,320,180,3,5.02,49,0,53377,0,97.4
0.03,3,0.6,7,320,180,1,5.93,22,0,41273,0,105.67
0.03,4,0.5,7,320,180,5,4.07,42,0,40770,0,106.0
0.04,1,0.2,5,320,180,6,2.96,39,0,27319,0,106.0
0.04,5,0.55,3,320,180,5,1.0,72,0,19753,0,106.0
0.04,0,0.0,6,320,180,5,3.0,48,0,34126,0,106.0
