remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.13,0,0.1,0,1280,720,3,0.0,0,0,0,0,0.0
0.11,4,0.09,136,1280,720,7,20.56,174,0,1161278,6,74.18
0.11,11,0.17,111,1280,720,7,8.57,93,0,924300,2,60.0
0.11,18,0.11,152,1280,720,5,18.99,224,0,1330267,16,62.47
0.11,9,0.0,102,1280,720,2,4.99,295,0,919054,10,65.2
0.12,20,0.14,85,1280,720,2,7.52,58,0,745999,16,72.0
0.15,5,0.08,115,1280,720,3,7.39,251,6,1035554,2,58.43
0.16,7,0.12,112,1280,720,3,8.98,57,8,980422,0,54.89
0.17,4,0.06,120,1280,720,4,12.13,77,0,1038134,4,46.08
0.17,8,0.1,114,1280,720,4,11.96,131,0,977827,7,43.42
0.16,4,0.05,122,1280,720,4,12.06,100,1,1030727,3,41.17
0.16,7,0.0,120,1280,720,1,3.0,628,4,1111611,5,30.0
0.15,9,0.11,101,1280,720,1,4.21,543,3,918531,14,52.0
0.15,0,0.11,115,1280,720,1,7.66,160,0,1029688,2,43.4
0.23,21,0.12,89,1280,720,1,3.26,358,0,813217,13,31.67
0.28,15,0.13,109,640,360,1,4.0,466,1,996214,10,31.75
0.31,15,0.18,90,640,360,1,2.99,301,3,809444,7,30.67
0.33,9,0.09,98,640,360,4,8.05,102,0,862264,8,38.75
0.33,10,0.16,88,640,360,2,3.98,65,0,768508,7,43.75
0.31,9,0.14,92,640,360,4,8.05,107,2,790929,8,36.62
0.3,2,0.11,84,640,360,3,5.95,151,3,734203,7,64.0
0.28,5,0.09,81,640,360,4,8.03,135,1,712226,7,51.25
0.28,6,0.0,74,640,360,2,4.01,165,0,663019,6,48.25
0.24,8,0.12,74,640,360,3,5.99,39,0,646626,5,49.0
0.24,6,0.09,71,640,360,2,3.99,136,0,624334,6,67.5
0.24,5,0.0,75,640,360,3,5.98,136,0,642574,5,48.67
0.24,5,0.12,67,640,360,4,8.01,82,0,571164,3,44.25
0.21,5,0.11,66,640,360,3,6.01,172,0,551231,5,38.67
0.21,4,0.09,67,640,360,4,7.87,208,1,563728,5,56.0
0.22,7,0.11,66,640,360,3,6.12,175,3,539677,6,70.5
0.22,8,0.12,98,640,360,2,4.0,107,2,403071,6,56.75
0.22,2,0.04,143,640,360,2,4.0,21,0,282994,0,60.75
0.21,2,0.05,137,640,360,1,2.0,71,0,327758,3,23.5
0.22,2,0.09,181,640,360,2,4.0,8,0,136963,2,65.0
0.21,2,0.07,105,640,360,2,4.0,59,0,400524,5,42.75
0.23,3,0.15,86,640,360,3,5.96,165,2,415181,1,65.83
0.22,2,0.07,60,640,360,3,6.03,138,3,458889,5,47.33
0.23,4,0.08,68,640,360,3,6.0,166,1,424728,3,66.83
0.23,3,0.06,123,640,360,2,3.99,64,0,270670,1,51.25
0.23,3,0.06,131,640,360,2,4.02,24,0,238272,3,64.0
0.22,3,0.15,120,640,360,1,2.0,42,0,280248,5,23.0
0.24,4,0.2,72,640,360,2,3.98,182,1,357782,2,65.0
0.23,2,0.09,144,320,180,2,3.01,12,0,179603,4,47.0
0.25,4,0.07,117,320,180,3,2.97,28,0,184476,2,40.0
0.26,2,0.13,62,640,360,1,2.01,345,1,424812,2,8.0
0.23,3,0.11,49,640,360,2,4.01,451,2,359236,1,74.5
0.21,2,0.07,168,640,360,2,0.0,0,0,82356,9,0.0
0.25,9,0.0,148,320,180,2,3.0,5,0,103760,1,54.0
0.28,1,0.11,75,640,360,1,3.02,184,0,331768,0,23.0
0.25,0,0.0,43,640,360,1,2.0,698,2,388492,3,40.5
0.22,6,0.21,90,320,180,1,0.99,74,0,123255,3,80.0
0.27,3,0.07,132,320,180,2,1.01,3,0,82888,4,80.0
0.31,3,0.0,141,320,180,4,1.98,4,0,27242,0,137.5
0.31,0,0.0,124,320,180,3,4.02,3,0,70608,1,160.5
