remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.11,0,0.0,0,320,180,1,0.0,0,0,0,0,0.0
0.1,1,0.0,19,320,180,6,5.68,153,0,78291,1,35.29
0.1,0,0.0,27,320,180,6,5.93,101,0,72563,0,33.5
0.11,5,0.36,13,320,180,4,3.97,168,0,81232,5,37.25
0.1,2,0.22,20,320,180,6,5.98,224,0,81469,1,48.83
0.12,3,0.0,15,320,180,1,1.0,235,0,82289,1,129.0
0.11,2,0.5,29,320,180,4,4.05,55,0,54337,2,88.0
0.14,1,0.5,15,320,180,3,2.98,310,0,95785,2,80.0
0.13,2,0.28,23,320,180,1,1.0,55,0,52046,3,169.0
0.13,5,0.45,23,320,180,3,3.01,89,0,66198,1,108.0
0.16,0,0.0,17,320,180,1,1.0,278,0,80310,1,164.0
0.16,3,0.43,30,320,180,1,1.0,45,0,47880,2,104.0
0.2,1,0.2,15,320,180,2,2.0,199,0,87429,2,107.0
0.19,3,0.6,22,320,180,1,1.0,110,0,58570,2,186.0
0.19,0,0.0,28,320,180,2,2.0,39,0,62478,2,134.0
0.19,4,0.4,12,320,180,1,1.0,401,0,83496,1,32.0
0.21,1,0.5,26,320,180,4,3.98,44,0,64859,3,151.25
0.21,6,0.66,12,320,180,1,1.01,286,0,99216,1,194.0
0.21,4,0.66,18,320,180,4,3.93,128,0,65186,1,157.75
0.2,3,0.4,19,320,180,4,3.91,142,0,95961,2,145.25
0.19,2,0.28,10,320,180,3,3.12,335,0,78725,1,140.33
0.18,4,0.5,23,320,180,4,4.01,51,0,72226,3,160.0
0.16,2,0.33,19,320,180,1,1.0,186,0,65835,2,202.0
0.17,2,0.25,31,320,180,2,1.99,14,0,49588,2,174.5
0.2,1,0.5,14,320,180,3,3.01,300,0,92384,1,146.67
0.2,0,0.5,16,320,180,3,2.99,174,1,74556,2,152.0
0.19,3,0.5,19,320,180,1,1.03,222,3,72975,0,38.0
0.18,8,0.3,35,320,180,1,0.96,5,3,24974,1,203.0
0.18,0,0.0,39,320,180,2,2.07,21,0,24066,0,158.0
0.21,0,0.0,27,320,180,2,2.01,98,0,50233,0,126.5
0.21,0,0.0,28,320,180,6,5.97,80,0,56115,0,166.33
0.2,6,0.28,26,320,180,6,5.45,97,0,60507,2,149.33
0.17,3,0.37,22,320,180,5,4.47,126,2,77316,2,157.75
0.16,1,0.14,24,320,180,6,5.98,102,3,57309,1,155.17
0.16,3,0.0,24,320,180,4,3.0,81,0,62492,1,191.0
0.14,2,0.18,21,320,180,4,4.93,134,0,74481,0,167.4
0.14,2,0.28,29,320,180,4,4.06,48,0,51185,2,179.5
0.13,1,0.0,28,320,180,5,4.77,71,0,52499,1,181.4
0.11,0,0.0,25,320,180,3,3.05,53,2,61145,2,133.67
0.1,4,0.4,13,320,180,1,0.0,562,3,74232,0,0.0
0.09,0,0.0,40,320,180,2,1.0,11,1,15805,0,168.0
0.15,1,0.16,30,320,180,4,1.99,39,0,43363,1,145.0
0.15,0,0.0,24,320,180,4,3.95,105,0,65510,0,141.25
0.14,0,0.0,28,320,180,4,3.87,56,0,51326,0,166.25
0.13,2,0.18,28,320,180,4,4.14,56,0,50367,2,164.25
0.12,1,0.16,30,320,180,2,3.96,65,0,48973,1,152.5
0.11,1,0.0,13,320,180,1,2.05,409,1,91946,0,107.0
0.1,2,0.22,37,320,180,4,0.97,12,0,30137,2,164.0
0.1,2,0.33,28,320,180,5,4.13,31,0,45110,1,165.25
0.12,1,0.5,22,320,180,2,4.0,118,2,76079,1,114.25
0.09,4,0.5,13,320,180,2,2.01,284,3,80755,3,194.5
0.09,3,0.33,30,320,180,2,1.62,30,1,45419,2,139.5
0.12,0,0.0,24,320,180,5,1.31,112,0,56633,0,184.0
0.12,0,0.0,22,320,180,5,4.92,108,0,78369,3,165.0
0.11,4,0.5,15,320,180,3,4.05,369,0,103379,1,153.75
0.13,5,0.25,13,320,180,4,3.01,259,0,86784,1,164.67
0.14,3,0.3,21,320,180,5,3.95,81,0,67990,4,176.0
0.15,2,0.0,16,320,180,5,4.98,141,0,73508,1,178.2
0.14,0,0.0,31,320,180,5,5.01,51,0,45054,1,184.4
0.13,1,0.12,23,320,180,5,5.08,88,0,71767,2,157.2
0.11,2,0.28,17,320,180,5,4.88,209,0,81300,1,181.8
0.11,4,0.44,27,320,180,1,5.11,96,2,60110,1,152.4
0.1,1,0.0,23,320,180,3,0.97,131,3,71015,3,192.0
0.12,3,0.33,34,320,180,7,2.72,37,1,31222,0,167.0
0.12,0,0.0,19,320,180,5,6.75,152,0,73127,1,183.5
0.15,2,0.5,28,320,180,2,4.11,61,0,52602,1,156.0
0.12,3,0.27,14,320,180,2,1.95,234,0,92408,1,152.0
0.11,0,0.0,35,320,180,4,1.94,12,0,26197,2,200.5
0.1,5,0.0,19,320,180,6,3.17,129,0,74894,2,166.67
0.12,1,0.0,24,320,180,8,5.99,87,0,72284,2,180.17
0.13,4,0.5,25,320,180,6,7.46,89,0,67644,1,132.38
0.1,4,0.3,26,320,180,8,5.39,88,2,54190,3,83.2
0.09,2,0.22,16,320,180,1,8.04,235,1,90561,2,100.25
0.09,0,0.0,19,320,180,5,1.0,171,0,68883,2,161.0
0.08,2,0.22,17,320,180,2,5.0,155,0,87522,0,151.8
0.1,4,0.0,21,320,180,1,1.93,55,1,65138,2,109.0
0.09,4,0.66,12,320,180,2,0.0,468,3,105772,2,0.0
0.09,1,0.14,32,320,180,2,0.0,87,1,18123,1,0.0
0.09,2,0.33,34,320,180,2,0.99,13,0,32698,1,175.0
0.16,1,0.5,27,320,180,3,1.98,87,0,55673,1,142.5
0.15,0,0.0,26,320,180,4,2.04,113,0,60042,0,138.0
0.15,1,0.0,32,320,180,3,2.02,26,0,30796,1,165.5
0.15,1,0.2,30,320,180,3,3.0,71,0,50158,1,134.67
0.15,0,0.0,39,320,180,1,3.0,21,0,22047,0,104.67
0.16,7,0.58,22,320,180,1,2.92,60,0,75183,1,86.0
0.15,3,0.75,13,320,180,2,3.07,414,2,105141,1,72.67
0.16,0,0.0,14,320,180,1,0.0,727,4,111889,1,0.0
0.16,3,0.25,17,320,180,4,0.98,1261,2,147307,2,17.0
0.16,1,0.12,11,320,180,3,0.0,929,0,102956,1,0.0
0.27,6,0.4,10,320,180,3,0.0,1004,0,90557,3,0.0
0.27,4,0.0,5,320,180,3,0.0,0,0,27637,2,0.0
0.27,0,0.0,3,320,180,2,0.0,0,0,26177,1,0.0
0.27,0,0.0,3,320,180,1,1.06,261,0,28515,0,145.0
0.27,0,0.0,37,320,180,3,0.0,26,0,18064,0,0.0
0.37,2,0.0,34,320,180,4,0.0,0,0,109380,2,0.0
0.37,0,0.0,46,320,180,3,0.0,0,0,0,0,0.0
0.37,0,0.0,25,320,180,3,2.03,48,0,36446,0,155.0
0.37,0,0.0,39,320,180,2,0.0,37,0,18357,0,0.0
0.37,0,0.0,31,320,180,2,1.02,16,0,41193,2,208.0
0.35,3,0.0,27,320,180,1,3.86,54,0,44706,0,174.5
0.35,0,0.0,13,320,180,3,2.07,324,0,104100,2,205.5
0.31,1,0.16,19,320,180,1,3.0,145,0,65527,1,178.0
0.27,2,0.2,24,320,180,2,3.01,105,0,73226,1,172.33
0.25,4,0.0,20,320,180,4,1.98,97,0,64606,2,201.0
0.24,2,0.33,12,320,180,1,0.69,15,0,21300,3,194.0
0.24,1,0.33,29,320,180,1,1.55,119,0,48494,0,112.0
0.24,0,0.0,32,320,180,1,3.33,31,0,39482,2,130.33
0.3,2,0.66,11,320,180,1,3.0,412,0,98298,1,137.67
0.32,1,0.16,31,320,180,3,2.92,47,0,30822,1,122.33
0.3,1,0.14,16,320,180,3,3.09,289,0,95549,1,116.67
0.27,0,0.0,13,320,180,2,2.01,299,0,100843,2,161.0
0.24,4,0.5,15,320,180,4,1.92,68,0,77131,4,125.0
0.25,4,0.3,23,320,180,3,0.0,142,0,46992,0,0.0
0.25,0,0.0,25,320,180,2,0.98,50,0,60128,2,158.0
0.25,1,0.11,22,320,180,3,3.09,117,0,73111,0,148.67
0.27,0,0.0,28,320,180,4,0.94,92,0,44235,1,168.0
0.25,2,0.28,32,320,180,4,2.13,15,0,43293,3,156.5
0.27,3,0.43,29,320,180,3,3.96,81,0,58773,0,137.5
0.26,1,0.5,12,320,180,4,0.98,367,0,98462,1,95.0
0.23,1,0.16,19,320,180,3,1.02,106,0,65560,3,167.0
0.25,3,0.0,36,320,180,4,0.7,14,0,19239,2,190.0
0.25,0,0.0,48,320,180,3,0.0,0,0,0,0,0.0
0.25,0,0.0,29,320,180,4,1.0,86,0,58210,1,129.0
0.25,0,0.0,12,320,180,4,3.01,497,0,81051,0,139.67
0.26,1,0.0,27,320,180,1,3.93,96,0,66264,3,112.25
0.27,4,0.0,32,320,180,1,2.01,20,0,41224,4,85.5
0.26,3,0.3,38,320,180,1,4.04,26,0,26663,1,115.5
0.23,0,0.0,33,320,180,2,3.0,32,0,39504,1,185.0
0.19,2,0.33,20,320,180,1,1.99,157,0,72498,1,165.5
0.18,1,0.2,30,320,180,1,3.01,29,0,46700,2,159.0
0.18,3,0.33,37,320,180,3,3.96,15,0,25314,1,130.5
0.16,0,0.0,31,320,180,4,3.02,43,0,40539,1,115.33
0.14,1,0.25,27,320,180,1,3.0,90,0,62050,2,133.33
0.12,2,0.0,31,320,180,1,4.01,41,0,40839,1,104.0
0.15,0,0.0,29,320,180,1,2.98,28,0,57623,1,92.0
0.13,4,0.66,28,320,180,1,3.99,67,0,57283,2,90.75
0.12,1,0.25,31,320,180,4,2.88,33,0,32342,1,74.0
0.11,1,0.14,32,320,180,3,4.19,32,0,49307,1,70.75
0.1,2,0.4,30,320,180,4,3.0,46,1,44738,2,62.0
0.09,1,0.5,17,320,180,3,1.0,348,2,91019,0,19.0
0.09,3,0.6,17,320,180,2,0.0,549,3,63164,0,0.0
0.08,2,0.0,12,320,180,3,1.01,568,6,101415,0,26.0
0.08,1,0.09,29,320,180,4,0.0,175,1,36058,0,0.0
0.17,0,0.0,42,320,180,3,0.0,0,0,9314,1,0.0
0.17,1,0.0,46,320,180,3,0.96,4,0,662,0,90.0
0.17,0,0.0,46,320,180,3,0.0,0,0,0,0,0.0
0.17,0,0.0,21,320,180,1,0.0,0,0,0,0,0.0
0.17,0,0.0,10,320,180,1,1.99,433,0,79683,0,85.5
0.23,3,0.6,40,320,180,1,0.0,0,0,17972,2,0.0
0.23,0,0.0,35,320,180,3,0.97,49,0,40898,0,66.0
0.23,0,0.0,22,320,180,4,1.04,210,0,51601,0,157.0
0.24,5,0.41,20,320,180,3,2.95,81,0,73288,3,160.33
0.25,1,0.33,35,320,180,3,3.98,21,1,28579,1,170.75
0.27,1,0.33,17,320,180,1,1.01,300,3,94691,1,17.0
0.22,3,0.43,11,320,180,1,0.0,1000,2,85013,1,0.0
0.22,3,0.3,34,320,180,2,0.96,12,0,40508,2,191.0
0.22,1,0.2,34,320,180,2,1.01,12,0,20966,1,208.0
0.3,0,0.0,35,320,180,3,1.04,25,0,27317,1,139.0
0.29,1,0.5,27,320,180,4,4.02,94,0,58681,1,164.5
0.27,4,0.57,32,320,180,3,2.98,18,1,45315,1,130.33
0.23,3,0.43,21,320,180,4,4.03,225,0,80230,2,141.5
0.23,0,0.0,28,320,180,4,2.94,45,0,40603,2,114.33
0.24,4,0.0,35,320,180,3,2.03,39,0,32460,1,117.5
