remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.1,0,0.0,0,640,360,2,0.0,0,0,0,0,0.0
0.1,0,0.0,11,640,360,2,1.87,542,1,101591,2,74.33
0.1,3,0.23,13,640,360,2,0.0,1117,0,119759,1,0.0
0.13,2,0.22,14,640,360,1,2.0,1107,0,120750,2,120.0
0.15,2,0.16,14,640,360,1,1.0,1454,0,117487,1,80.0
0.17,3,0.3,11,640,360,1,0.0,1176,0,98272,3,0.0
0.21,2,0.25,8,640,360,1,1.0,1409,0,63776,0,199.0
0.31,2,0.4,6,640,360,1,1.0,128,0,55319,2,147.0
0.31,0,0.4,7,640,360,1,1.01,241,0,61428,1,160.0
0.31,0,0.0,6,640,360,1,1.0,272,4,53924,1,169.0
0.31,0,0.0,1,640,360,2,1.0,15,0,8285,0,208.0
0.32,1,0.5,1,640,360,1,0.0,0,0,8828,1,0.0
0.32,0,0.0,5,640,360,6,1.0,241,3,45092,0,166.0
0.31,1,0.0,3,640,360,4,2.02,12,3,21496,1,182.5
0.32,1,0.25,5,640,360,6,1.0,232,2,38176,0,206.0
0.32,0,0.0,16,480,270,6,6.0,74,0,49910,1,204.17
0.31,1,0.33,6,480,270,6,3.98,32,0,22348,1,200.0
0.25,2,0.5,7,480,270,4,6.0,33,0,23805,0,197.5
0.23,3,0.5,8,480,270,6,6.03,44,0,48290,1,168.5
0.16,0,0.0,9,480,270,4,5.99,25,0,27311,1,158.17
0.13,3,0.37,5,480,270,6,3.97,12,0,17884,1,140.25
0.11,1,0.16,8,480,270,5,6.03,37,0,44802,1,139.33
0.09,2,0.33,7,480,270,5,4.01,32,0,24397,1,132.5
0.07,1,0.0,8,480,270,5,7.02,20,0,42734,1,125.0
0.07,4,0.0,13,480,270,6,5.0,148,0,66290,4,151.4
0.09,3,0.3,8,480,270,5,4.98,75,0,40377,1,161.0
0.08,2,0.33,8,480,270,3,5.99,23,0,33165,1,148.17
0.08,2,0.33,7,480,270,3,5.98,24,0,31742,0,126.67
0.07,3,0.37,6,480,270,3,5.03,36,0,38010,0,134.0
0.06,1,0.2,5,480,270,3,3.96,42,0,27367,0,151.5
0.07,4,0.0,8,480,270,3,3.01,70,0,49325,2,158.67
0.09,1,0.0,9,480,270,4,3.02,212,3,63721,1,172.67
0.11,3,0.43,7,480,270,3,2.98,56,0,52065,1,166.0
0.12,0,0.0,7,480,270,3,3.01,96,0,43152,2,200.0
0.1,2,0.4,6,480,270,4,4.02,24,0,39658,0,187.0
0.1,1,0.33,6,480,270,1,3.0,66,0,43020,1,184.67
0.1,3,0.5,8,480,270,2,2.99,59,0,44882,2,194.0
0.1,1,0.14,8,480,270,2,4.01,89,1,58007,1,173.5
0.11,3,0.43,8,480,270,5,0.0,235,0,62404,1,0.0
0.11,0,0.0,2,480,270,2,1.0,39,0,9653,0,208.0
0.15,0,0.0,0,480,270,2,0.0,0,0,0,0,0.0
0.15,0,0.0,4,480,270,1,2.0,52,0,25237,0,184.5
0.14,3,0.75,6,480,270,2,2.0,73,0,36130,1,185.0
0.14,1,0.25,9,480,270,6,4.87,51,1,53766,2,171.6
