remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.06,0,0.05,0,1280,720,4,0.0,0,0,0,0,0.0
0.06,3,0.03,96,1280,720,4,4.56,95,0,867192,4,36.83
0.06,5,0.06,155,1280,720,7,7.54,73,0,1411814,4,31.8
0.07,5,0.04,134,1280,720,6,4.99,101,0,1225526,2,30.0
0.08,4,0.03,134,1280,720,3,3.97,125,0,1228691,10,99.8
0.1,9,0.05,99,1280,720,4,5.38,90,0,897167,2,136.75
0.09,2,0.03,36,1280,720,4,4.03,49,0,326050,2,110.0
0.08,1,0.03,48,1280,720,4,4.01,55,0,423202,2,101.25
0.07,1,0.02,63,1280,720,4,3.98,60,0,575294,0,84.75
0.07,3,0.05,49,1280,720,3,3.0,240,0,436334,3,120.33
0.1,3,0.05,58,1280,720,5,5.0,107,0,522437,4,151.0
0.09,3,0.05,23,1280,720,4,3.98,45,0,193368,2,110.0
0.07,1,0.05,30,1280,720,4,4.04,56,0,266197,1,101.25
0.06,2,0.07,55,1280,720,5,4.99,64,0,500594,2,88.2
0.06,0,0.0,112,1280,720,5,4.92,85,0,1010442,0,65.4
0.06,2,0.0,127,1280,720,5,5.02,81,0,1159587,3,71.0
0.06,4,0.03,103,1280,720,3,3.03,89,0,936056,7,59.0
0.07,7,0.08,173,1280,720,5,5.03,92,0,1574206,4,56.4
0.07,7,0.04,134,1280,720,6,5.99,66,0,1210955,9,48.5
0.07,6,0.04,122,1280,720,7,7.01,63,0,1111778,7,38.57
0.06,9,0.09,113,1280,720,6,6.0,73,0,1032526,7,33.83
0.06,5,0.04,106,1280,720,7,7.01,97,0,965816,4,105.43
0.06,2,0.02,46,1280,720,5,3.99,73,0,401875,1,113.0
0.06,0,0.0,19,1280,720,5,4.0,47,0,162921,0,110.0
0.05,1,0.04,87,1280,720,4,3.98,143,0,797346,1,98.0
0.05,0,0.0,82,1280,720,3,2.02,105,0,746983,3,101.0
0.06,3,0.05,86,1280,720,3,3.0,97,0,790720,2,86.67
0.06,3,0.04,71,1280,720,2,1.98,102,0,654106,2,88.0
0.07,4,0.03,75,1280,720,3,3.02,91,0,696048,4,77.0
0.07,4,0.07,92,1280,720,3,3.01,76,0,844923,4,59.33
0.07,2,0.02,114,1280,720,4,3.01,94,0,1050176,2,62.0
0.07,9,0.08,142,1280,720,3,3.0,95,0,1307073,6,46.0
0.08,6,0.05,65,1280,720,2,2.0,71,0,598119,9,51.0
0.08,4,0.06,93,1280,720,3,3.02,78,0,849835,3,48.67
0.08,4,0.04,232,1280,720,5,4.97,130,0,2151399,6,43.2
0.09,9,0.04,134,1280,720,5,4.03,115,0,1226086,8,41.75
0.09,6,0.04,149,1280,720,5,3.98,66,0,1374196,10,38.5
0.09,11,0.08,166,1280,720,5,4.97,81,0,1530234,4,37.8
0.09,5,0.03,156,1280,720,5,5.04,83,0,1432308,8,38.2
0.08,8,0.05,108,1280,720,5,3.99,70,0,978924,4,41.0
0.08,7,0.05,149,1280,720,5,4.97,99,0,1363080,6,40.4
0.08,8,0.05,219,1280,720,5,4.01,126,0,2018308,9,60.0
0.09,5,0.02,131,1280,720,4,4.01,122,0,1210858,6,83.0
0.09,10,0.07,112,1280,720,4,4.0,87,0,1019094,9,66.5
0.08,7,0.08,144,1280,720,5,5.02,95,0,1314863,7,52.6
0.09,9,0.06,151,1280,720,4,3.99,96,0,1386655,10,51.0
0.08,5,0.04,137,1280,720,4,4.01,83,0,1256905,7,34.75
