remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.28,0,0.43,0,320,180,1,0.0,0,0,0,0,0.0
0.26,0,0.0,43,320,180,6,4.22,10,0,79245,0,157.0
0.25,0,0.0,8,320,180,6,5.19,59,0,29544,0,123.75
0.2,3,0.27,5,320,180,4,3.87,12,0,25148,0,112.0
0.16,2,0.0,7,320,180,5,5.04,13,0,40975,0,92.6
0.16,0,0.0,2,320,180,1,1.25,59,2,8997,2,82.4
0.16,0,0.0,0,320,180,3,0.0,0,0,0,0,0.0
0.16,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.16,0,0.0,0,320,180,3,0.0,0,0,0,0,0.0
0.16,0,0.0,3,320,180,3,0.67,610,0,20601,0,157.0
0.19,0,0.0,2,320,180,3,0.0,0,0,11520,1,0.0
0.22,1,0.33,11,320,180,3,3.03,23,0,83448,0,149.0
0.18,1,0.07,9,320,180,3,2.0,39,0,73314,1,113.0
0.16,1,0.33,6,320,180,5,3.03,16,0,34103,1,120.0
0.14,0,0.0,17,320,180,3,2.97,41,0,146291,1,105.0
0.12,1,0.0,12,320,180,3,3.01,45,1,88212,1,126.33
0.11,3,0.33,12,320,180,2,3.0,49,4,90678,1,110.67
0.11,2,0.28,13,320,180,3,2.99,24,3,90927,2,79.0
0.1,0,0.0,25,320,180,6,5.01,51,3,213823,1,79.8
0.09,2,0.1,28,320,180,4,3.0,87,0,244463,0,99.33
0.1,4,0.16,17,320,180,4,3.0,71,0,149217,2,127.67
0.09,5,0.33,17,320,180,2,2.0,121,0,143608,4,99.5
0.1,0,0.0,6,320,180,1,3.02,7,0,33729,1,133.0
0.11,2,0.66,11,320,180,4,6.01,40,0,79749,1,78.5
0.09,2,0.15,19,480,270,1,3.99,29,0,60380,1,151.0
0.08,2,0.0,8,480,270,1,3.99,35,1,50761,2,147.0
0.08,2,0.33,7,480,270,1,1.9,219,0,44756,1,182.0
0.1,2,0.5,7,480,270,2,1.05,141,0,62275,1,147.0
0.1,3,0.43,13,480,270,4,4.02,250,0,96498,2,208.0
0.1,3,0.3,12,480,270,3,0.99,262,0,96172,3,139.0
0.1,2,0.22,5,480,270,4,0.0,601,0,41820,3,0.0
0.1,1,0.0,2,480,270,2,0.99,2,0,9213,1,208.0
0.16,0,0.0,1,480,270,3,1.0,10,0,458,0,208.0
0.16,0,0.0,6,480,270,2,2.0,33,0,34728,1,172.0
0.14,3,0.6,6,480,270,2,3.98,25,0,27932,1,141.5
0.12,0,0.0,10,480,270,1,3.0,85,0,47376,1,164.0
0.12,0,0.0,7,480,270,1,4.02,85,0,45480,0,147.75
0.12,3,0.0,10,480,270,1,2.0,236,3,83475,1,139.0
0.12,0,0.0,3,480,270,1,0.0,252,3,26898,1,0.0
0.12,0,0.0,0,480,270,1,0.0,0,0,0,0,0.0
0.16,0,0.0,1,480,270,2,1.0,7,0,2084,0,143.0
0.14,1,0.0,7,480,270,4,2.99,103,0,46041,0,139.67
0.14,0,0.0,5,480,270,1,2.49,50,0,25626,1,131.67
0.14,0,0.0,10,480,270,1,1.96,259,1,82165,0,121.0
0.14,1,0.14,3,480,270,2,0.0,790,0,22530,0,0.0
0.14,1,0.16,3,480,270,1,1.0,65,0,26138,1,118.0
0.19,0,0.0,7,480,270,1,0.0,557,0,61044,0,0.0
0.19,2,0.28,5,480,270,1,1.0,62,0,39300,2,187.0
0.22,1,0.25,1,480,270,1,0.99,7,0,2286,0,188.0
0.22,0,0.0,5,480,270,1,1.01,232,0,45555,0,146.0
0.21,1,0.2,2,480,270,1,1.0,280,0,9193,0,204.0
0.23,0,0.0,4,480,270,3,1.99,26,0,22233,1,153.0
0.22,1,0.0,6,480,270,4,4.01,44,0,33815,0,151.5
0.17,2,0.0,9,480,270,4,0.99,228,4,67532,2,108.0
0.17,1,0.0,5,480,270,4,0.0,807,2,40341,1,0.0
0.21,2,0.66,2,480,270,3,1.0,5,0,9009,1,181.0
0.2,0,0.0,8,480,270,3,1.99,111,0,61912,1,166.0
0.19,2,0.28,7,480,270,2,1.0,322,0,61028,1,160.0
0.22,0,0.0,6,480,270,4,1.0,121,2,50360,1,116.0
0.22,2,0.28,5,480,270,4,0.0,654,4,44595,0,0.0
0.22,0,0.0,5,480,270,3,1.0,114,3,41602,2,135.0
0.26,1,0.14,5,480,270,3,0.0,607,2,40718,0,0.0
0.26,0,0.0,1,480,270,2,0.0,0,0,8224,1,0.0
0.26,0,0.0,2,480,270,1,1.0,58,0,17204,0,205.0
0.3,0,0.0,0,480,270,2,0.0,0,0,0,0,0.0
0.3,0,0.0,0,480,270,2,0.0,0,0,0,0,0.0
0.3,0,0.0,2,480,270,3,1.0,61,0,12585,0,197.0
0.28,0,0.0,11,480,270,3,1.01,18,0,13098,0,190.0
0.28,0,0.0,12,320,180,2,2.99,41,0,13976,0,208.0
0.25,2,0.4,7,320,180,1,3.96,112,0,39743,0,167.5
0.22,0,0.0,5,320,180,1,3.02,34,0,30581,0,121.67
0.18,0,0.0,4,320,180,1,4.02,14,0,17384,0,110.0
0.16,1,0.33,5,320,180,2,2.98,27,0,26656,0,106.0
0.13,2,0.33,4,320,180,1,3.02,19,0,21393,0,85.33
0.13,3,0.75,4,320,180,1,2.0,37,0,22380,0,80.5
0.12,2,0.5,6,320,180,2,3.98,23,0,43302,0,69.0
0.1,0,0.0,8,320,180,1,4.02,36,0,51933,0,58.25
0.09,2,0.28,4,320,180,3,3.0,23,0,20999,0,57.0
0.08,2,0.5,7,320,180,2,3.0,65,0,47860,0,40.33
0.07,0,0.0,14,320,180,2,2.0,399,0,120413,0,56.0
0.11,3,0.18,9,320,180,1,1.0,206,0,71596,0,67.0
0.12,3,0.33,2,320,180,1,2.0,14,0,11181,0,101.5
0.11,0,0.0,7,320,180,2,1.98,128,0,51490,0,97.5
0.12,1,0.2,10,320,180,1,3.03,118,0,88491,0,67.0
0.12,3,0.27,9,320,180,1,3.01,91,0,64161,0,93.0
0.12,0,0.0,5,320,180,3,1.99,138,0,37911,0,146.5
0.13,0,0.0,3,320,180,1,1.0,74,0,26804,0,122.0
0.12,0,0.0,5,320,180,2,1.0,247,0,44261,0,64.0
0.12,3,0.0,1,320,180,2,1.0,9,0,6620,0,195.0
0.14,0,0.0,5,320,180,2,2.0,73,0,29996,0,133.0
0.13,0,0.0,1,320,180,2,1.0,37,0,8810,0,64.0
0.13,0,0.0,6,320,180,2,1.0,297,0,45915,0,202.0
0.17,6,0.66,3,320,180,1,2.0,35,0,15880,0,118.0
0.16,0,0.0,6,320,180,2,1.0,292,0,53294,0,59.0
0.15,2,0.25,5,320,180,2,2.99,35,0,31719,0,182.33
0.16,0,0.0,7,320,180,2,2.0,232,0,47372,0,130.5
0.15,2,0.33,4,320,180,2,2.0,111,0,30064,0,167.5
0.17,1,0.25,6,320,180,2,1.0,296,0,54705,0,85.0
0.17,1,0.33,0,320,180,2,0.0,0,0,0,0,0.0
0.17,2,0.5,4,320,180,1,0.91,165,0,25695,0,179.0
0.2,1,0.25,3,320,180,2,2.23,45,0,22990,0,204.0
0.2,1,0.5,5,320,180,2,0.98,258,0,44074,0,141.0
0.19,2,0.25,2,320,180,1,0.99,292,0,13522,0,198.0
0.19,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.19,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.19,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.19,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.19,0,0.0,10,320,180,2,3.01,75,0,59961,0,135.33
0.19,0,0.0,5,320,180,1,0.0,549,0,44483,0,0.0
0.19,0,0.0,1,320,180,1,1.0,6,0,4366,0,205.0
0.22,1,0.5,2,320,180,2,2.0,11,0,14673,0,165.0
0.2,0,0.0,1,320,180,1,0.0,114,0,7195,0,0.0
0.19,0,0.0,8,320,180,2,1.99,211,0,59894,0,135.5
0.2,0,0.0,2,320,180,2,2.01,10,0,8880,0,183.0
0.2,0,0.0,6,320,180,1,2.0,182,0,41343,0,138.0
0.19,4,0.5,3,320,180,1,2.01,44,0,17828,0,161.5
0.17,0,0.0,6,320,180,2,1.0,247,0,49998,0,68.0
0.17,1,0.16,2,320,180,2,2.0,6,0,8660,0,201.5
0.19,1,0.5,2,320,180,4,1.98,15,0,17631,0,116.5
0.17,0,0.0,5,320,180,3,1.01,228,0,41518,0,198.0
0.18,1,0.25,2,320,180,3,2.0,11,0,12134,0,184.0
0.16,0,0.0,6,320,180,2,1.99,204,0,42740,0,132.0
0.17,2,0.4,3,320,180,3,2.0,37,0,17313,0,163.0
0.17,1,0.25,6,320,180,2,1.0,290,0,54646,0,64.0
0.16,1,0.0,2,320,180,1,2.01,11,0,14527,0,189.5
0.17,3,0.0,5,320,180,2,2.0,83,0,36003,0,110.5
0.16,1,0.2,3,320,180,3,1.0,253,0,21728,0,199.0
0.18,0,0.0,2,320,180,3,1.99,11,0,14082,0,175.0
0.16,1,0.33,7,320,180,4,2.01,248,0,54775,0,131.0
0.16,1,0.2,2,320,180,4,2.0,8,0,8179,0,201.0
0.19,1,0.5,6,320,180,3,2.0,193,0,41028,0,136.5
0.2,4,0.57,3,320,180,3,2.0,34,0,14714,0,166.0
0.18,0,0.0,5,320,180,3,1.0,187,0,40896,0,59.0
0.18,2,0.33,3,320,180,1,0.99,337,0,19941,0,198.0
