remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.08,0,0.43,0,320,180,1,0.0,0,0,0,0,0.0
0.11,8,0.22,15,320,180,3,3.33,60,6,117969,5,98.2
0.12,2,0.22,19,320,180,4,4.26,121,1,162717,0,94.5
0.12,3,0.21,9,320,180,3,3.07,26,3,70638,3,91.67
0.11,4,0.33,17,320,180,4,3.99,53,3,134136,3,84.5
0.1,3,0.3,13,320,180,6,6.01,31,0,89125,2,76.67
0.09,4,0.4,15,320,180,6,6.0,43,0,107712,2,47.83
0.08,4,0.33,8,320,180,5,5.0,19,0,52443,1,41.8
0.08,3,0.33,12,320,180,6,5.98,25,0,78345,1,37.0
0.07,2,0.28,11,320,180,5,5.0,26,1,81241,2,39.0
0.06,3,0.0,19,320,180,5,4.99,78,0,130663,2,33.8
0.06,5,0.62,14,320,180,6,6.0,49,0,101940,1,37.0
0.07,5,0.41,15,320,180,6,6.0,44,0,97965,4,38.5
0.06,3,0.23,9,320,180,6,6.01,33,0,57969,1,38.83
0.06,0,0.0,9,320,180,4,3.0,126,3,55660,1,83.67
0.07,4,0.5,9,320,180,5,4.0,35,4,49599,1,59.75
0.07,0,0.0,7,320,180,3,2.99,124,1,40451,0,53.0
0.09,1,0.14,2,320,180,2,2.01,14,0,7566,0,60.0
0.09,1,0.2,9,320,180,5,4.99,56,0,47504,1,44.8
0.1,1,0.0,7,320,180,6,5.99,30,0,36974,0,48.5
0.09,0,0.0,8,320,180,3,3.02,87,2,50846,2,59.67
0.09,3,0.0,9,320,180,5,4.95,59,0,34916,3,77.4
0.08,3,0.37,8,320,180,4,4.02,21,0,37067,2,53.0
0.09,3,0.25,6,320,180,1,3.72,66,0,27698,3,49.86
0.09,0,0.25,9,320,180,1,0.0,72,0,9180,0,0.0
0.08,4,0.5,11,320,180,7,6.99,29,0,57396,2,40.14
0.1,0,0.0,10,320,180,5,5.01,91,0,48968,0,58.0
0.12,2,0.4,12,320,180,7,6.97,37,0,49536,2,49.0
0.12,3,0.0,10,320,180,7,6.03,46,0,37904,1,57.0
0.11,1,0.16,11,320,180,6,5.95,28,0,51493,3,54.67
0.1,3,0.3,11,320,180,7,7.05,10,0,38940,4,54.14
0.07,2,0.0,11,320,180,4,4.0,88,2,56361,1,47.75
0.06,5,0.62,7,320,180,2,2.16,52,4,24498,4,62.0
0.06,3,0.37,11,320,180,3,4.87,68,1,72202,2,65.33
0.06,3,0.5,11,320,180,6,6.02,48,0,51082,1,52.33
0.06,0,0.0,10,320,180,7,7.05,49,0,46360,1,48.57
0.06,3,0.0,9,320,180,7,6.56,27,0,47364,1,45.86
0.04,1,0.14,10,320,180,7,6.39,29,0,45279,3,51.17
0.05,2,0.25,10,320,180,6,5.97,60,0,37872,1,59.83
0.05,5,0.83,13,320,180,7,7.06,70,0,61075,1,63.29
0.04,0,0.0,13,320,180,5,3.99,88,2,62243,2,49.25
0.07,7,0.44,4,320,180,2,1.44,74,4,20835,3,49.0
0.07,0,0.44,6,320,180,3,4.8,14,0,27102,2,66.67
0.06,3,0.43,9,320,180,6,5.11,87,0,38925,0,57.0
0.11,0,0.0,9,320,180,6,5.93,32,0,51190,1,47.0
0.09,3,0.33,9,320,180,7,7.0,36,0,29701,1,55.71
0.07,0,0.0,9,320,180,7,6.05,35,0,36559,0,52.83
0.06,1,0.11,8,320,180,5,4.9,33,1,46090,1,43.6
0.06,2,0.22,7,320,180,3,3.04,89,0,38141,2,67.0
0.06,0,0.22,7,320,180,5,4.03,65,0,25906,2,75.75
0.06,3,0.2,9,320,180,7,7.01,16,0,37370,1,55.29
0.06,0,0.0,8,320,180,6,5.95,28,0,35295,1,53.5
0.05,1,0.14,9,320,180,5,5.03,100,2,53120,1,55.6
0.05,2,0.28,9,320,180,4,4.01,50,3,44222,4,69.5
0.04,2,0.0,5,320,180,3,2.98,71,4,28404,1,58.0
0.07,3,0.37,7,320,180,1,1.01,243,3,47438,1,122.0
0.08,1,0.25,2,320,180,2,1.98,10,2,1627,0,82.0
0.07,1,0.14,5,320,180,4,4.01,12,0,18904,1,66.5
0.11,1,0.5,8,320,180,7,6.97,6,0,31297,1,53.29
0.1,0,0.0,9,320,180,7,6.0,21,0,39030,2,53.0
0.07,2,0.28,6,320,180,7,6.06,12,0,28786,1,51.0
0.06,4,0.33,11,320,180,4,2.95,129,1,69140,2,37.33
0.05,2,0.33,5,320,180,2,2.02,121,0,19917,3,101.0
0.05,1,0.14,6,320,180,5,5.02,25,0,19105,1,71.0
0.08,1,0.33,7,320,180,6,5.98,13,0,34325,1,55.0
0.08,0,0.0,9,320,180,6,6.03,39,0,29470,2,58.67
0.08,2,0.4,8,320,180,7,5.94,22,0,34119,1,49.33
0.07,1,0.16,11,320,180,6,6.04,38,0,46954,3,52.5
0.06,7,0.43,10,320,180,6,6.03,38,0,43946,1,54.83
0.05,0,0.0,9,320,180,7,6.99,89,0,33569,0,53.71
0.06,3,0.43,10,320,180,6,5.95,27,0,39847,2,52.5
0.06,0,0.0,11,320,180,6,6.05,38,0,52266,3,45.67
0.07,4,0.4,10,320,180,2,2.0,192,3,71915,3,51.0
0.07,3,0.43,4,320,180,1,0.99,2,3,3761,3,91.0
0.07,3,0.43,6,320,180,4,4.04,8,1,25779,2,81.0
0.07,2,0.28,4,320,180,4,3.99,18,0,13150,0,66.0
0.07,0,0.0,8,320,180,6,6.04,23,0,43328,1,52.0
0.07,3,0.43,9,320,180,6,5.98,29,0,37930,1,53.17
0.06,0,0.0,8,320,180,7,7.04,19,0,35099,0,50.57
0.05,0,0.0,7,320,180,6,4.99,38,1,39746,0,47.4
0.05,3,0.43,7,320,180,3,3.0,93,3,30200,2,70.33
0.04,1,0.12,8,320,180,7,6.98,21,2,35278,0,59.0
0.03,5,0.71,8,320,180,6,6.01,13,0,45550,1,51.83
0.04,2,0.0,12,320,180,6,6.01,103,0,40263,2,65.0
0.03,5,0.62,12,320,180,6,5.98,19,0,47609,2,52.0
0.05,0,0.0,10,320,180,6,6.03,43,0,45554,2,52.5
0.05,4,0.44,13,320,180,6,5.98,84,0,60390,3,50.83
0.06,5,0.66,12,320,180,5,5.76,39,0,40245,1,56.83
0.07,0,0.0,8,320,180,4,3.13,132,3,51939,0,45.0
0.08,2,0.25,3,320,180,3,3.01,6,3,9665,0,55.33
0.07,1,0.16,11,320,180,5,4.98,43,3,55476,2,55.6
