remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.07,0,0.0,0,640,360,1,0.0,0,0,0,0,0.0
0.09,9,0.3,7,640,360,1,1.59,84,0,53322,6,63.0
0.09,0,0.3,0,640,360,4,0.0,0,0,0,0,0.0
0.12,0,0.0,6,640,360,6,4.0,56,0,35387,1,107.0
0.11,0,0.0,13,640,360,3,6.0,129,0,87471,0,86.67
0.1,2,0.33,10,640,360,5,3.0,131,0,69226,1,121.0
0.09,1,0.07,10,640,360,1,5.01,124,1,76317,2,178.2
0.09,3,0.43,14,640,360,1,0.0,532,0,108114,2,0.0
0.09,1,0.11,1,640,360,3,0.0,0,0,7616,1,0.0
0.09,0,0.0,0,640,360,4,0.0,0,0,0,0,0.0
0.09,0,0.0,0,640,360,3,0.0,0,0,0,0,0.0
0.09,0,0.0,3,640,360,3,1.0,121,0,19140,0,208.0
0.09,0,0.0,12,640,360,4,0.0,0,0,8645,1,0.0
0.14,1,0.25,2,640,360,3,1.0,81,0,13321,0,208.0
0.14,0,0.0,28,640,360,4,3.0,86,0,182005,0,134.33
0.14,0,0.0,26,640,360,3,4.01,84,0,219867,2,112.25
0.13,5,0.26,27,640,360,4,2.99,50,0,228961,7,108.0
0.12,9,0.31,31,640,360,3,2.99,141,2,270104,2,97.0
0.11,3,0.21,25,640,360,4,4.02,75,3,210814,6,95.75
0.12,8,0.27,34,640,360,3,3.0,109,0,291227,7,87.0
0.12,3,0.0,24,640,360,3,4.0,94,0,206337,2,78.5
0.12,9,0.0,32,640,360,3,1.97,110,0,273646,5,76.0
0.12,7,0.27,39,640,360,4,4.06,110,1,337344,2,67.5
0.13,3,0.14,36,640,360,5,3.0,258,3,317069,3,86.67
0.13,3,0.1,34,640,360,3,3.99,133,2,299300,3,72.75
0.16,8,0.23,35,640,360,1,3.0,175,0,306783,6,63.0
0.16,6,0.0,29,640,360,2,3.01,118,0,252276,5,74.67
0.18,8,0.25,28,640,360,4,3.0,155,0,237555,6,77.67
0.18,2,0.1,20,640,360,5,4.0,135,0,176394,5,86.5
0.18,6,0.28,28,640,360,5,4.97,353,0,248457,5,180.4
0.17,5,0.29,25,640,360,4,3.03,785,1,214386,4,185.0
0.16,3,0.0,19,640,360,3,0.99,309,2,148901,1,203.0
0.17,2,0.09,13,640,360,6,1.99,157,2,106854,3,173.5
0.2,1,0.2,7,640,360,5,4.03,67,0,57657,0,167.25
0.18,1,0.1,15,640,360,5,5.01,128,0,116145,0,183.4
0.17,1,0.09,14,640,360,5,5.01,78,0,107841,1,189.6
0.15,3,0.2,9,640,360,4,4.01,49,0,65415,2,197.0
0.14,3,0.33,8,640,360,4,2.99,45,0,53547,2,194.0
0.11,1,0.11,8,640,360,1,6.0,62,0,45629,0,200.83
0.1,1,0.0,6,640,360,3,4.99,49,0,38311,0,195.0
0.08,1,0.12,9,640,360,1,4.01,83,0,59266,2,191.25
0.08,3,0.43,10,640,360,2,5.0,58,0,60481,2,178.6
0.07,1,0.16,11,640,360,1,3.85,68,0,67376,2,166.25
0.07,3,0.5,8,640,360,1,4.12,82,2,59377,2,176.5
0.07,2,0.22,7,640,360,3,1.0,352,3,54067,1,204.0
0.06,0,0.0,8,640,360,3,3.01,134,1,62620,1,190.67
0.1,2,0.4,6,640,360,5,1.0,233,0,42593,1,207.0
0.08,3,0.37,9,640,360,4,2.0,93,0,64856,1,204.0
0.1,1,0.0,6,640,360,1,1.0,230,0,50531,1,190.0
0.1,0,0.0,2,640,360,3,1.0,80,0,15291,0,208.0
0.11,1,0.25,5,640,360,3,3.0,70,0,38824,1,204.33
0.13,0,0.0,5,640,360,3,3.0,47,0,30574,1,205.0
0.13,0,0.0,6,640,360,3,4.95,49,0,34206,0,202.0
0.11,1,0.25,6,640,360,1,4.05,92,2,42558,0,190.5
0.09,1,0.0,6,640,360,1,0.0,340,3,44501,2,0.0
0.09,2,0.33,3,640,360,1,1.0,10,1,21641,1,207.0
0.09,3,0.75,6,640,360,2,3.0,84,0,46039,0,176.67
0.12,0,0.0,5,640,360,1,3.0,100,0,37623,0,176.0
0.11,1,0.0,9,640,360,1,2.98,93,0,62167,3,195.33
0.1,1,0.0,8,640,360,1,3.01,129,1,64578,0,174.0
0.1,1,0.16,5,640,360,1,0.0,473,4,41529,1,0.0
0.11,2,0.25,2,640,360,1,0.0,0,0,18578,2,0.0
0.11,0,0.0,5,640,360,1,1.0,236,0,40219,0,205.0
0.11,0,0.0,0,640,360,5,0.0,0,0,0,0,0.0
0.15,0,0.0,3,640,360,5,1.0,12,0,23882,1,192.0
0.15,3,0.75,3,640,360,5,1.01,144,0,18791,0,199.0
0.15,0,0.0,10,640,360,5,2.0,280,0,74317,1,184.5
0.15,2,0.5,4,640,360,4,0.99,203,2,35652,0,132.0
0.14,2,0.33,9,640,360,4,0.0,762,3,80205,1,0.0
0.17,2,0.28,1,640,360,5,0.0,0,0,10338,1,0.0
0.17,0,0.0,0,640,360,5,0.49,146,0,3554,0,208.0
0.17,0,0.0,0,640,360,5,0.0,0,0,0,0,0.0
0.17,0,0.0,13,640,360,6,0.0,279,0,93157,0,0.0
0.17,0,0.0,11,640,360,5,1.0,115,0,74654,0,139.0
0.17,0,0.0,6,640,360,4,1.0,120,0,49684,3,196.0
0.24,3,0.23,21,480,270,6,4.99,110,0,171493,0,141.0
0.24,0,0.0,15,480,270,5,5.01,27,0,112576,5,112.0
0.19,6,0.0,11,480,270,6,5.02,37,0,77452,1,99.4
0.15,5,0.55,18,480,270,5,5.15,46,0,140045,2,78.33
0.11,1,0.09,16,480,270,5,4.77,51,0,130526,2,66.75
0.09,2,0.13,17,480,270,5,3.99,52,0,128333,2,56.5
0.08,5,0.29,21,480,270,5,5.0,60,0,170366,3,48.6
0.07,2,0.14,22,480,270,5,5.01,66,0,180656,3,35.8
0.07,4,0.0,45,480,270,4,5.0,110,0,386892,3,37.4
0.06,7,0.35,51,480,270,4,5.98,152,0,441334,7,61.17
0.07,5,0.26,46,480,270,5,5.03,130,3,399188,8,54.4
0.09,12,0.23,35,480,270,5,4.0,233,2,299811,6,94.75
0.1,5,0.2,34,640,360,4,4.98,74,0,245659,6,168.6
0.11,6,0.17,28,640,360,5,4.96,91,0,229573,3,131.2
0.1,4,0.0,27,640,360,2,6.08,52,0,227573,4,115.83
0.09,8,0.3,32,640,360,4,3.99,66,0,277500,3,96.75
0.08,3,0.13,41,640,360,4,5.0,70,0,354013,6,96.6
0.07,9,0.32,40,640,360,5,5.02,59,0,356331,7,86.4
0.06,13,0.41,40,640,360,5,4.97,82,0,350641,8,81.2
0.07,7,0.23,41,640,360,4,5.02,87,2,355983,6,89.6
0.07,8,0.32,50,640,360,6,3.97,111,3,441760,7,75.25
0.07,10,0.3,48,640,360,5,4.04,151,1,416453,12,83.0
0.09,11,0.31,39,640,360,4,4.98,121,0,336066,5,89.8
0.1,9,0.23,35,640,360,1,4.95,100,0,292202,6,87.8
0.11,8,0.25,32,640,360,1,4.04,128,0,277794,7,93.75
0.12,7,0.25,31,640,360,1,5.02,103,1,261281,5,107.6
0.12,9,0.43,34,640,360,2,2.0,279,3,297304,6,151.5
0.11,8,0.36,13,640,360,3,4.0,49,3,95745,1,162.25
0.14,3,0.18,16,640,360,2,4.0,98,0,134849,3,156.5
0.12,3,0.25,12,640,360,2,5.01,56,0,84719,2,177.4
0.11,2,0.2,10,640,360,5,4.97,95,0,79876,0,169.4
0.09,4,0.5,11,640,360,3,4.02,87,0,86132,3,170.75
0.09,4,0.3,17,640,360,1,5.95,113,0,121657,3,149.17
0.09,4,0.66,15,640,360,2,5.03,118,0,118128,3,167.8
0.09,4,0.36,16,640,360,3,4.0,125,1,119344,2,173.0
0.09,3,0.0,8,640,360,5,0.0,96,0,63864,4,0.0
0.09,4,0.4,5,640,360,4,1.0,42,1,35143,3,204.0
0.11,0,0.0,6,640,360,2,0.99,220,0,46852,0,171.0
0.1,3,0.75,4,640,360,3,1.01,30,0,30131,2,198.0
0.1,0,0.0,5,640,360,3,2.0,151,0,39742,0,173.5
0.11,1,0.0,5,640,360,4,3.0,94,0,40948,1,164.33
0.11,1,0.33,9,640,360,2,2.0,285,0,72323,1,197.5
0.14,3,0.5,5,640,360,4,2.01,30,0,40637,3,196.5
0.18,0,0.0,7,640,360,4,3.99,45,0,43517,1,195.0
0.15,3,0.43,8,640,360,5,3.01,149,1,57296,2,164.0
0.14,0,0.0,9,640,360,4,0.0,415,3,67194,1,0.0
0.15,5,0.41,3,640,360,4,0.0,0,3,21942,4,0.0
0.15,1,0.0,1,640,360,4,1.0,37,0,8828,0,208.0
0.18,0,0.0,4,640,360,4,2.01,8,0,29467,1,180.5
0.18,0,0.0,9,640,360,4,2.99,236,0,69384,0,187.0
0.17,0,0.0,7,640,360,2,5.02,71,0,40808,0,185.2
0.15,5,0.45,10,640,360,1,4.0,97,0,60415,3,192.75
0.14,1,0.2,6,640,360,4,2.0,149,0,40929,1,173.5
0.14,0,0.0,11,640,360,2,2.99,82,0,73640,3,189.33
0.15,4,0.57,4,640,360,6,3.0,55,0,25214,0,199.67
0.14,0,0.0,9,640,360,3,4.0,96,0,55934,1,197.75
0.15,1,0.2,7,640,360,4,2.0,106,0,48777,3,194.5
0.13,2,0.0,6,640,360,1,3.99,74,0,44450,2,201.0
0.13,2,0.4,6,640,360,1,3.92,105,0,34064,0,203.0
0.12,0,0.0,8,640,360,2,5.06,40,0,46735,2,194.4
0.12,2,0.33,8,640,360,2,4.03,116,0,45444,3,193.5
0.11,2,0.0,8,640,360,5,4.0,79,0,43432,1,186.5
0.1,1,0.12,8,640,360,5,4.0,49,0,47825,2,187.75
