remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.19,0,0.08,0,1280,720,2,0.0,0,0,0,0,0.0
0.24,23,0.11,73,640,360,3,2.74,25,0,609490,15,82.2
0.24,0,0.11,8,320,180,3,8.28,53,0,5830,1,113.0
0.24,1,0.14,40,320,180,7,3.04,6,0,8652,0,109.67
0.32,3,0.15,24,320,180,8,6.96,27,0,62523,3,95.29
0.28,1,0.12,34,320,180,3,7.86,18,2,44509,0,74.25
0.12,3,0.25,58,640,360,4,1.0,8,5,241492,2,49.0
0.12,0,0.25,118,640,360,4,0.0,0,0,25306,0,0.0
0.12,0,0.25,0,640,360,2,0.0,0,0,0,0,0.0
0.17,1,0.0,83,320,180,3,2.0,38,0,13551,0,120.33
0.17,0,0.0,12,320,180,3,5.76,2279,0,90321,0,113.0
0.17,0,0.0,0,320,180,6,0.0,0,0,0,0,0.0
0.17,0,0.0,14,320,180,5,1.35,1980,0,109140,0,103.0
0.17,0,0.0,14,320,180,6,3.12,1340,4,100545,0,93.0
0.24,0,0.0,12,320,180,5,2.98,851,0,86509,0,120.0
0.27,1,0.1,20,320,180,5,6.05,11,0,47664,1,103.0
0.28,1,0.07,31,320,180,6,5.0,3,0,41524,1,90.0
0.29,2,0.18,26,320,180,4,6.01,15,0,59367,2,82.5
0.23,1,0.16,35,320,180,5,5.0,6,0,32427,0,81.6
0.17,0,0.0,25,320,180,4,5.0,28,0,56286,0,77.8
0.14,1,0.12,27,320,180,6,6.0,23,0,58961,0,83.5
0.11,1,0.16,29,320,180,5,4.0,14,0,42585,0,81.25
0.09,2,0.11,31,320,180,6,5.61,9,0,45444,0,89.0
0.08,0,0.0,29,320,180,6,4.29,18,0,46193,0,88.75
0.07,1,0.16,26,320,180,3,5.97,29,0,64474,0,85.17
0.06,0,0.0,32,320,180,3,5.03,10,0,35827,0,86.0
0.05,2,0.25,25,320,180,4,6.0,30,0,65239,2,64.67
0.05,0,0.0,18,320,180,6,6.01,56,0,77779,1,88.5
0.05,1,0.11,20,320,180,7,3.0,130,1,81209,0,83.33
0.05,0,0.0,37,320,180,6,2.0,1,0,12207,0,101.0
0.05,0,0.0,34,320,180,5,4.0,11,0,42982,1,89.75
0.09,1,0.14,20,320,180,5,6.0,37,0,73983,1,94.67
0.08,1,0.0,24,320,180,5,5.98,57,0,62213,0,134.83
0.07,1,0.14,36,320,180,1,5.81,9,0,35117,0,108.5
0.07,0,0.0,31,320,180,5,5.2,12,0,44289,1,95.6
0.07,1,0.0,34,320,180,5,5.0,8,0,41096,2,74.0
0.05,2,0.28,22,320,180,6,4.98,27,1,70377,1,62.6
0.05,1,0.11,26,320,180,6,1.0,98,0,47069,1,117.0
0.04,0,0.0,33,320,180,4,5.0,6,0,38785,0,81.6
0.08,0,0.0,28,320,180,6,5.01,21,0,55538,0,79.4
0.07,0,0.0,21,320,180,5,5.98,39,0,64975,0,92.83
0.06,0,0.0,35,320,180,5,6.01,6,0,36646,0,99.17
0.07,1,0.0,33,320,180,5,4.01,10,0,36247,0,93.25
0.06,0,0.0,22,320,180,1,5.99,55,0,72286,0,96.0
0.05,1,0.14,27,320,180,1,4.96,15,0,52220,1,109.2
