remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.13,0,0.5,0,320,180,1,0.0,0,0,0,0,0.0
0.11,2,0.66,16,320,180,4,3.62,48,0,67798,2,71.4
0.13,1,0.2,10,320,180,6,6.18,57,0,38837,0,208.0
0.11,5,0.45,13,320,180,7,6.01,12,0,32842,3,124.67
0.11,2,0.0,19,320,180,7,6.97,27,0,27073,0,101.29
0.08,2,0.0,14,320,180,3,3.01,112,0,59453,0,99.67
0.09,4,0.4,12,320,180,2,2.0,297,0,101926,3,87.5
0.08,0,0.0,7,320,180,1,0.0,1008,0,61483,0,0.0
0.08,0,0.0,25,320,180,2,0.0,0,0,0,0,0.0
0.08,0,0.0,20,320,180,3,1.01,4,0,19269,1,126.0
0.15,1,0.33,19,320,180,3,1.99,6,0,32391,1,136.0
0.15,0,0.0,9,320,180,4,3.02,189,0,61865,0,143.33
0.15,0,0.0,12,320,180,3,3.0,13,0,35254,1,101.33
0.15,5,0.62,12,320,180,3,4.01,108,0,67491,2,92.5
0.13,3,0.37,11,320,180,3,2.98,43,0,52030,2,87.0
0.12,2,0.0,6,320,180,2,3.02,23,0,32325,1,72.0
0.11,1,0.14,12,320,180,1,2.99,307,0,97486,1,66.33
0.11,3,0.0,12,320,180,2,0.0,825,0,109054,1,0.0
0.11,3,0.43,8,320,180,1,2.0,52,0,71493,3,84.0
0.11,0,0.43,11,320,180,4,0.0,639,0,99317,1,0.0
0.19,4,0.0,13,320,180,5,0.97,1,0,9018,2,156.0
0.19,0,0.0,25,320,180,4,0.0,0,0,0,0,0.0
0.19,0,0.0,26,320,180,4,2.0,1,0,2089,0,112.0
0.19,0,0.0,25,320,180,4,1.0,5,0,16224,0,62.0
0.22,3,0.33,11,320,180,4,4.02,79,0,78843,2,83.0
0.19,0,0.0,11,320,180,3,4.0,68,0,37450,0,93.0
0.17,2,0.33,14,320,180,4,3.0,29,0,34236,1,74.67
0.14,2,0.0,12,320,180,4,4.0,15,0,46351,1,59.0
0.12,1,0.16,11,320,180,4,4.0,45,0,49303,1,56.25
0.11,1,0.25,8,320,180,4,4.12,27,0,53994,3,52.0
0.1,1,0.5,8,320,180,3,2.83,77,0,48941,1,54.0
0.09,3,0.43,9,320,180,2,4.14,52,0,63417,1,47.0
0.09,2,0.33,7,320,180,2,3.99,90,0,41459,0,51.75
0.1,1,0.14,7,320,180,2,3.99,55,0,49877,1,45.5
0.1,0,0.14,10,320,180,3,3.99,54,0,48997,0,42.25
0.09,4,0.0,12,320,180,3,2.99,67,0,60659,0,41.67
0.08,1,0.14,7,320,180,3,2.02,97,0,36160,0,74.0
0.1,1,0.12,8,320,180,4,1.99,267,0,69775,0,34.0
0.1,0,0.0,8,320,180,4,1.0,89,0,56984,1,71.0
0.12,2,0.5,10,320,180,3,2.92,230,0,71670,1,53.33
0.11,2,0.33,8,320,180,3,3.07,28,0,31718,1,51.67
0.12,1,0.14,12,320,180,4,2.94,30,0,27674,0,48.67
0.11,1,0.5,9,320,180,4,4.1,77,0,61623,1,40.25
0.1,2,0.28,9,320,180,4,3.98,105,0,64170,1,46.75
0.11,2,0.28,11,320,180,3,3.01,111,0,67823,2,64.0
0.11,2,0.0,6,320,180,1,3.01,121,0,41405,0,47.67
0.13,4,0.0,10,320,180,1,4.0,57,0,78557,3,43.75
0.12,0,0.0,11,320,180,1,2.99,131,0,76887,1,44.67
0.12,3,0.33,9,320,180,3,4.01,83,0,65439,1,36.75
0.12,0,0.0,12,320,180,2,2.99,144,0,80606,1,47.67
0.13,3,0.25,9,320,180,1,1.05,275,0,78231,2,22.0
0.16,4,0.0,17,320,180,1,0.67,12,0,24242,2,90.0
0.16,0,0.0,23,320,180,2,0.0,0,0,0,0,0.0
0.16,0,0.0,0,320,180,2,0.0,0,0,0,0,0.0
0.15,0,0.0,9,320,180,2,1.01,2,0,4854,0,117.0
0.26,2,0.33,17,320,180,2,1.32,366,0,55632,2,31.75
0.26,0,0.33,0,320,180,2,0.0,0,0,0,0,0.0
0.26,0,0.33,0,320,180,1,0.0,0,0,0,0,0.0
0.26,0,0.0,18,320,180,2,1.04,105,0,72721,2,11.0
0.38,3,0.0,12,320,180,1,3.02,622,0,96363,1,45.67
0.4,1,0.1,12,320,180,2,1.0,416,0,105755,0,9.0
0.36,2,0.15,12,320,180,2,0.99,840,0,104613,4,136.0
0.36,3,0.37,8,320,180,1,1.01,214,0,62404,3,70.0
0.42,2,0.4,7,320,180,1,2.0,149,0,53454,3,64.0
0.41,1,0.0,9,320,180,3,1.99,199,0,66540,2,138.5
0.39,5,0.55,10,320,180,2,1.98,134,0,84516,1,45.5
0.38,0,0.0,11,320,180,1,0.0,349,0,102926,3,0.0
0.38,4,0.44,6,320,180,2,2.0,18,0,23062,1,137.5
0.42,0,0.0,15,320,180,2,2.0,36,0,46727,0,47.0
0.37,0,0.0,11,320,180,2,0.0,418,0,92553,2,0.0
0.36,3,0.3,5,320,180,1,1.01,2,0,21203,2,122.0
0.38,1,0.5,22,320,180,1,2.0,2,0,12735,0,93.5
0.34,0,0.0,18,320,180,2,1.0,137,0,67000,0,18.0
0.32,1,0.25,10,320,180,1,1.99,192,0,78383,1,129.0
0.34,0,0.0,6,320,180,1,2.05,132,0,46726,0,79.5
0.33,0,0.0,9,320,180,2,0.0,454,0,79439,0,0.0
0.33,1,0.1,17,320,180,1,0.94,1,0,9202,1,149.0
0.35,0,0.0,13,320,180,2,0.51,1,0,852,0,131.0
0.35,0,0.0,462,320,180,3,0.0,0,0,0,0,0.0
0.35,0,0.0,20,320,180,1,1.0,5,0,12811,0,67.0
0.33,1,0.33,14,320,180,2,3.03,297,0,95356,1,61.67
0.31,1,0.16,11,320,180,1,1.98,114,0,73148,3,35.0
0.32,4,0.5,8,320,180,1,1.01,375,0,62759,1,129.0
0.31,2,0.2,11,320,180,2,1.97,26,0,29548,1,104.0
0.28,0,0.0,12,320,180,1,2.03,334,0,93425,0,58.0
0.27,0,0.0,11,320,180,1,1.98,10,0,22785,0,79.5
0.3,0,0.0,15,320,180,1,1.0,120,0,64407,0,14.0
0.26,2,0.0,8,320,180,3,1.01,280,0,71238,4,80.0
0.26,2,0.33,15,320,180,4,2.0,2,0,13086,0,84.0
0.28,1,0.33,15,320,180,4,1.0,181,0,73715,0,14.0
0.26,0,0.0,6,320,180,4,1.01,166,0,30116,0,84.0
0.29,0,0.0,22,320,180,4,2.0,2,0,11610,0,83.5
0.26,2,0.5,17,320,180,5,1.0,115,0,63697,0,14.0
0.24,0,0.0,8,320,180,4,1.99,171,0,38779,1,121.0
0.27,1,0.2,17,320,180,4,2.01,9,0,22145,0,46.0
0.24,0,0.0,12,320,180,2,0.0,517,0,106122,1,0.0
0.23,1,0.1,9,320,180,4,0.99,766,0,77411,1,106.0
0.3,2,0.25,7,320,180,4,0.0,191,0,42873,2,0.0
0.3,0,0.0,16,320,180,4,1.99,62,0,54963,0,124.5
0.32,0,0.0,13,320,180,4,1.01,21,0,26237,0,32.0
0.32,0,0.0,12,320,180,4,0.0,568,0,104996,2,0.0
0.3,2,0.0,5,320,180,4,1.0,15,0,35402,2,147.0
0.34,3,0.5,17,320,180,3,2.0,25,0,37248,1,140.0
0.32,0,0.0,9,320,180,2,1.0,56,0,43411,2,17.0
0.31,1,0.5,12,320,180,4,0.0,679,0,103407,2,0.0
0.29,2,0.2,6,320,180,5,1.01,2,0,32943,2,153.0
0.34,2,0.0,20,320,180,3,1.0,1,0,3995,0,186.0
0.3,0,0.0,9,320,180,4,2.99,134,0,75240,1,97.33
0.29,3,0.6,13,320,180,2,3.98,105,0,89951,3,127.0
0.27,5,0.5,9,320,180,4,4.03,70,0,58816,2,98.75
0.26,3,0.0,14,320,180,4,3.79,122,0,93783,5,96.25
0.27,2,0.22,11,320,180,4,3.18,107,0,58564,1,79.33
0.24,0,0.0,10,320,180,4,4.0,118,0,72185,1,105.0
0.22,5,0.0,14,320,180,4,3.96,112,0,88787,1,101.25
0.21,1,0.12,12,320,180,4,4.03,116,0,80242,2,121.5
0.19,1,0.16,10,320,180,1,1.0,199,0,77645,3,121.0
0.22,1,0.2,8,320,180,4,4.0,15,0,20823,0,100.5
0.17,0,0.0,21,320,180,3,4.04,26,0,38241,0,72.25
0.16,2,0.28,9,320,180,4,3.97,83,0,57292,2,71.25
0.15,0,0.0,8,320,180,4,4.0,88,0,49605,0,69.75
0.15,5,0.55,11,320,180,4,3.98,123,0,73100,1,65.75
0.15,2,0.25,11,320,180,4,4.0,62,0,74097,4,72.0
0.12,1,0.0,11,320,180,3,3.01,110,0,88855,2,61.33
0.15,4,0.4,7,320,180,4,2.0,163,0,53145,3,126.5
0.13,1,0.25,11,320,180,1,4.01,127,0,80265,2,105.25
0.13,1,0.14,7,320,180,1,3.99,42,0,36798,1,100.75
0.11,2,0.33,9,320,180,4,2.98,46,0,50605,2,79.67
0.11,2,0.0,10,320,180,4,4.03,61,0,57808,1,75.75
0.13,6,0.12,13,320,180,4,1.56,112,0,57757,2,90.0
0.13,0,0.12,26,320,180,4,0.0,0,0,0,0,0.0
0.13,0,0.0,17,320,180,2,2.0,17,0,35814,1,97.5
0.14,3,0.37,10,320,180,2,3.0,126,0,81868,1,66.33
0.15,3,0.5,13,320,180,2,3.98,432,0,108966,2,68.0
0.14,6,0.0,12,320,180,4,4.01,477,0,95119,3,78.0
0.16,4,0.44,17,320,180,5,3.92,493,0,104405,4,76.0
0.19,2,0.25,14,320,180,3,4.09,228,0,100143,4,65.75
0.19,3,0.27,14,320,180,4,3.0,148,0,99255,3,62.33
0.17,5,0.55,9,320,180,3,1.04,178,0,75395,3,165.0
