remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.32,0,0.0,0,640,360,2,0.0,0,0,0,0,0.0
0.23,5,0.25,79,320,180,8,14.09,10,0,386589,2,80.53
0.23,0,0.25,6,320,180,4,3.09,19,0,45352,0,59.0
0.21,0,0.0,80,320,180,4,3.37,1,0,437356,2,63.0
0.14,3,0.0,73,640,360,7,12.6,30,0,557237,1,48.54
0.11,0,0.0,73,640,360,7,14.43,43,2,566440,0,44.64
0.1,0,0.0,70,640,360,7,15.06,105,1,597834,2,37.87
0.08,4,0.09,71,640,360,4,7.01,186,0,484902,3,54.29
0.08,3,0.06,117,640,360,5,10.0,29,0,376432,5,54.1
0.09,11,0.16,60,640,360,3,6.01,147,0,524052,4,59.33
0.12,4,0.07,82,640,360,1,1.98,155,1,399464,6,49.5
0.11,4,0.12,209,640,360,1,2.01,3,0,73915,4,82.0
0.13,5,0.09,112,640,360,3,5.97,39,0,362192,4,60.33
0.16,2,0.05,97,640,360,3,6.03,69,0,363658,1,73.0
0.17,1,0.0,111,640,360,2,4.01,83,0,336036,3,72.5
0.17,4,0.09,82,640,360,3,5.99,75,0,383318,2,61.17
0.17,2,0.06,94,640,360,2,4.99,94,2,336238,1,83.0
0.18,0,0.0,58,640,360,4,6.99,173,0,418329,6,81.0
0.18,8,0.16,113,640,360,2,4.02,75,0,268596,2,78.25
0.2,2,0.06,118,640,360,2,3.99,32,0,207500,6,73.25
0.2,4,0.09,86,640,360,3,5.93,74,1,297471,2,69.5
0.21,4,0.14,50,640,360,3,6.05,174,3,374991,3,66.0
0.2,4,0.16,63,640,360,3,6.02,159,3,351525,6,67.33
0.21,4,0.12,43,640,360,3,3.99,151,1,334273,3,78.25
0.21,7,0.17,116,320,180,4,3.99,7,0,155560,6,67.25
0.22,6,0.18,119,320,180,5,5.02,8,0,153304,1,55.6
0.22,0,0.0,97,320,180,2,1.99,24,0,161182,0,49.5
0.18,0,0.0,119,320,180,3,3.02,9,1,102079,1,87.0
0.15,2,0.0,139,320,180,3,3.93,1,4,51936,1,74.75
0.15,0,0.0,142,320,180,3,3.04,1,2,41060,1,42.33
0.13,1,0.08,127,320,180,4,4.02,3,0,61850,0,34.0
0.13,0,0.0,127,320,180,3,2.99,3,0,62814,1,28.33
0.11,2,0.18,113,320,180,4,4.0,4,0,86015,0,24.0
0.1,0,0.0,102,320,180,3,2.97,6,0,102319,1,17.67
0.09,2,0.18,100,320,180,4,4.04,8,0,100367,0,17.25
0.07,2,0.0,65,320,180,3,2.97,59,2,191302,2,19.0
0.07,1,0.11,85,320,180,4,4.05,12,0,126860,1,17.75
0.07,1,0.06,71,320,180,4,3.0,21,0,165050,5,14.0
0.08,4,0.22,32,320,180,4,3.99,291,0,287132,2,23.25
0.09,2,0.12,50,320,180,3,3.0,134,0,167346,1,87.67
0.09,0,0.0,72,320,180,5,4.99,18,0,177618,2,42.0
0.12,1,0.03,99,320,180,5,5.0,10,0,85602,0,93.8
0.14,0,0.0,79,320,180,5,4.99,24,0,157186,2,58.4
0.12,2,0.1,96,320,180,2,2.0,17,0,106586,1,71.5
0.11,1,0.07,68,320,180,1,0.99,59,2,160294,2,10.0
0.1,2,0.11,107,320,180,2,2.01,5,0,60849,0,115.5
0.1,0,0.0,90,320,180,3,3.0,9,0,110206,2,65.0
0.11,2,0.13,51,320,180,6,5.02,33,0,187236,1,59.2
0.13,1,0.12,47,320,180,2,2.01,89,0,189822,1,52.0
0.12,1,0.09,104,320,180,2,2.0,2,0,44779,1,107.5
0.12,5,0.18,41,320,180,3,2.99,73,0,213320,4,89.33
0.13,1,0.2,77,320,180,2,2.96,12,1,112036,1,82.33
0.13,0,0.2,58,320,180,1,1.02,75,0,133656,1,143.0
0.14,0,0.0,76,320,180,2,2.96,12,0,106648,0,99.0
0.16,3,0.18,53,320,180,4,4.05,40,0,158378,3,84.25
0.14,1,0.08,60,320,180,4,3.99,29,0,122667,1,82.75
0.13,1,0.06,29,320,180,4,4.01,140,0,206886,1,86.25
0.13,0,0.06,52,320,180,3,2.0,47,0,146958,3,131.0
0.13,2,0.15,76,320,180,2,1.0,12,0,60307,1,159.0
0.14,1,0.04,42,320,180,2,2.01,133,0,165015,1,68.0
0.16,1,0.0,59,320,180,3,2.99,19,0,106326,0,109.0
0.18,2,0.12,39,320,180,3,2.99,74,0,150525,2,128.67
0.18,0,0.12,47,320,180,2,2.01,78,0,141977,2,90.0
0.16,3,0.05,30,320,180,1,0.99,180,1,145675,1,8.0
0.16,0,0.05,43,320,180,1,1.01,221,0,115423,0,164.0
0.18,2,0.12,73,320,180,3,0.0,3,0,33981,2,0.0
0.18,2,0.16,48,320,180,2,3.0,33,0,123062,2,118.0
0.23,0,0.0,61,320,180,2,1.99,42,0,69544,0,126.0
0.22,0,0.0,67,320,180,2,2.01,16,0,62406,1,84.0
0.21,2,0.25,53,320,180,3,2.0,40,0,86053,1,116.5
0.22,1,0.14,31,320,180,1,3.01,154,1,161682,0,104.33
0.2,0,0.0,20,320,180,2,0.99,434,0,181059,0,8.0
0.2,0,0.0,45,320,180,3,0.0,108,0,62748,2,0.0
0.2,4,0.0,48,320,180,2,1.99,27,0,83627,2,132.5
0.2,1,0.04,60,320,180,6,3.03,8,0,45963,0,110.0
0.25,0,0.0,74,320,180,5,1.99,1,0,6320,0,86.0
0.24,0,0.0,44,320,180,5,6.0,13,0,85237,0,55.67
0.23,0,0.0,52,320,180,5,5.01,30,0,66015,0,49.8
0.19,0,0.0,28,320,180,2,4.98,71,0,119568,1,52.2
0.14,4,0.6,45,320,180,2,5.01,23,0,91594,0,46.2
0.14,0,0.0,16,320,180,1,2.0,301,0,136141,0,74.0
0.12,0,0.0,47,320,180,2,2.0,17,0,59461,0,88.0
0.11,0,0.0,21,320,180,1,0.0,259,0,122497,3,0.0
0.11,4,0.36,57,320,180,2,1.0,2,0,22629,1,150.0
0.13,1,0.0,62,320,180,2,0.0,0,0,0,0,0.0
0.13,0,0.0,43,320,180,2,2.0,23,2,59759,1,48.0
0.17,1,0.0,14,320,180,3,0.0,550,3,126287,0,0.0
0.16,0,0.0,26,320,180,3,0.0,345,2,61875,0,0.0
0.17,1,0.07,50,320,180,2,0.0,0,0,18265,2,0.0
0.17,1,0.07,49,320,180,3,0.4,14,0,15534,0,119.0
0.17,0,0.07,47,320,180,3,0.0,0,0,0,0,0.0
0.17,0,0.07,8,320,180,3,0.0,0,0,0,0,0.0
0.22,0,0.0,7,320,180,1,1.98,585,0,49812,0,104.5
0.22,0,0.0,36,320,180,1,0.0,66,0,19955,0,0.0
0.21,0,0.0,21,320,180,1,2.01,98,1,83537,0,47.0
0.21,1,0.14,11,320,180,1,0.0,890,0,96198,1,0.0
0.24,0,0.0,12,320,180,1,1.99,1127,2,107696,1,55.0
0.24,2,0.22,13,320,180,1,3.02,1096,0,120343,1,93.33
0.24,0,0.0,13,320,180,2,2.94,1836,0,110500,1,137.33
0.33,1,0.11,14,320,180,1,2.03,1461,0,102546,1,105.0
0.33,1,0.07,12,320,180,3,3.01,311,0,94484,1,101.33
0.33,4,0.3,24,320,180,2,2.98,10,0,44194,1,130.33
0.32,2,0.15,22,320,180,1,3.02,103,1,76936,2,60.33
0.29,2,0.25,13,320,180,1,0.0,483,4,113769,2,0.0
0.25,1,0.25,11,320,180,1,0.0,1520,3,94982,1,0.0
0.24,1,0.1,30,320,180,1,1.01,22,0,36530,0,8.0
0.24,1,0.1,12,320,180,1,0.0,747,0,110662,2,0.0
0.24,1,0.14,8,320,180,1,0.0,1732,0,74115,0,0.0
0.36,1,0.16,40,320,180,2,1.0,8,0,18446,0,118.0
0.36,0,0.0,40,320,180,1,0.0,0,0,18500,2,0.0
0.36,2,0.28,45,320,180,1,0.0,0,0,0,0,0.0
0.45,0,0.0,40,320,180,1,1.01,2,1,14286,0,140.0
0.45,0,0.0,17,320,180,1,0.99,320,3,98787,0,12.0
0.45,0,0.0,11,320,180,1,0.0,1259,3,98393,1,0.0
0.43,1,0.0,12,320,180,1,1.0,647,1,106659,0,19.0
0.41,0,0.0,11,320,180,1,0.0,1045,0,89559,0,0.0
0.41,0,0.0,51,320,180,1,0.0,0,0,8942,1,0.0
0.5,1,0.09,33,320,180,2,0.0,0,0,26511,3,0.0
0.5,3,0.3,5,320,180,1,1.01,20,0,18216,0,125.0
0.5,0,0.0,49,320,180,2,0.0,0,0,0,0,0.0
0.57,0,0.0,49,320,180,1,0.0,0,0,0,0,0.0
0.57,0,0.0,34,320,180,1,0.0,0,0,0,0,0.0
0.57,0,0.0,0,320,180,1,0.0,0,0,0,0,0.0
0.57,0,0.0,40,320,180,1,2.0,15,0,164401,0,119.0
0.57,0,0.0,45,320,180,1,0.0,0,0,0,0,0.0
0.53,0,0.0,111,640,360,3,1.99,58,0,913712,0,8.0
0.53,0,0.0,152,1280,720,1,9.07,585,0,1399333,0,65.56
0.5,2,0.28,157,1280,720,2,6.03,1450,0,1459545,2,69.33
0.49,12,0.08,140,1280,720,1,0.0,1339,0,1253330,12,0.0
0.49,16,0.1,95,640,360,1,2.0,1141,0,864283,15,65.0
0.48,10,0.0,72,640,360,1,2.0,167,9,608758,1,8.0
0.53,10,0.09,90,640,360,1,1.98,195,9,829853,0,46.5
0.53,0,0.0,128,1280,720,1,3.02,356,3,1178822,10,8.0
0.53,17,0.17,131,1280,720,1,3.0,1379,0,1218580,7,65.33
0.5,5,0.1,81,1280,720,1,0.0,1491,0,733815,6,0.0
0.5,11,0.09,75,640,360,1,2.0,25,0,619581,14,58.5
0.54,15,0.11,109,640,360,1,3.99,25,2,986621,6,28.75
0.59,5,0.1,110,1280,720,2,3.0,406,0,1007134,3,18.67
0.56,1,0.07,145,1280,720,2,0.0,771,0,1346729,2,0.0
0.55,8,0.08,151,1280,720,1,0.0,1604,0,1407133,10,0.0
0.55,19,0.13,43,640,360,1,2.01,137,0,395190,17,52.5
0.55,19,0.07,12,320,180,1,1.0,9,4,111017,9,8.0
0.65,1,0.04,33,320,180,1,0.0,103,5,194528,0,0.0
0.65,0,0.0,76,640,360,1,2.0,211,5,518017,0,8.0
0.63,3,0.12,47,640,360,2,0.0,998,0,437196,3,0.0
0.63,0,0.0,104,640,360,1,2.02,411,0,954140,4,8.0
0.6,7,0.1,78,640,360,1,2.01,269,0,714802,2,32.5
0.66,1,0.03,66,640,360,2,0.0,44,0,472231,7,0.0
0.66,7,0.08,79,640,360,2,1.98,56,0,715061,3,57.5
