remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.15,0,0.23,0,640,360,2,0.0,0,0,0,0,0.0
0.2,21,0.22,97,640,360,3,5.43,121,6,412545,11,68.5
0.21,4,0.11,30,640,360,2,4.86,114,0,262856,2,54.5
0.26,10,0.17,62,640,360,4,4.93,84,0,268338,9,33.0
0.22,5,0.16,52,640,360,3,4.01,472,4,454345,4,64.5
0.21,2,0.09,113,640,360,3,4.01,12,3,251582,8,62.0
0.24,11,0.22,95,320,180,4,5.03,46,1,292197,3,39.6
0.22,3,0.13,96,640,360,2,2.99,61,0,281976,3,30.33
0.19,6,0.2,45,640,360,2,0.0,712,0,398106,6,0.0
0.18,7,0.23,117,320,180,3,2.0,2,0,102208,5,104.5
0.18,7,0.0,102,320,180,4,3.0,11,0,155777,3,52.0
0.25,0,0.0,122,320,180,3,3.99,4,0,109099,2,54.25
0.22,4,0.28,85,320,180,2,2.97,39,3,172976,1,59.33
0.17,2,0.15,131,320,180,3,2.03,0,3,50013,2,62.5
0.17,3,0.12,110,320,180,3,2.99,2,0,61307,1,51.67
0.14,1,0.14,94,320,180,4,3.0,9,0,95133,1,33.67
0.12,0,0.0,73,320,180,4,4.02,8,0,133039,1,35.25
0.11,4,0.0,72,320,180,4,4.0,12,0,120897,1,33.75
0.1,3,0.27,60,320,180,3,4.0,18,0,138846,4,33.75
0.09,3,0.18,72,320,180,4,2.98,6,0,83492,2,31.0
0.08,3,0.3,51,320,180,4,4.0,21,0,144078,3,29.75
0.09,1,0.0,60,320,180,3,4.03,16,0,112724,1,32.25
0.09,2,0.18,45,320,180,4,2.99,34,0,123119,2,36.67
0.09,1,0.06,43,320,180,4,4.0,42,0,142872,1,34.5
0.09,0,0.0,36,320,180,4,4.02,46,0,123160,2,34.25
0.1,3,0.5,24,320,180,3,4.0,128,0,167007,2,34.75
0.1,0,0.0,34,320,180,5,2.99,46,0,94079,1,80.67
0.12,3,0.18,37,320,180,1,5.01,14,0,102008,3,60.6
0.13,2,0.0,25,320,180,1,1.0,71,0,107452,3,41.0
0.1,3,0.3,55,320,180,2,1.0,1,0,27419,3,114.0
0.1,1,0.11,50,320,180,2,2.0,4,0,30051,0,96.0
0.12,0,0.0,30,320,180,1,1.98,85,2,91898,1,21.0
0.11,0,0.0,15,320,180,2,0.0,813,3,134957,1,0.0
0.11,2,0.16,31,320,180,4,0.0,0,1,25653,2,0.0
0.11,1,0.11,41,320,180,4,1.01,1,0,26719,2,157.0
0.11,2,0.4,45,320,180,4,0.0,0,0,0,0,0.0
0.18,0,0.0,39,320,180,5,2.0,4,0,20922,0,122.0
0.18,0,0.0,45,320,180,4,0.0,0,0,0,0,0.0
0.16,0,0.0,33,320,180,1,4.0,22,0,40913,0,116.5
0.16,0,0.0,36,320,180,1,4.0,9,0,37884,2,92.0
0.13,3,0.16,21,320,180,1,2.68,12,0,27959,1,84.0
0.13,0,0.16,30,320,180,2,5.01,15,0,53590,1,71.0
0.14,2,0.33,24,320,180,1,4.0,20,0,54864,1,51.5
0.13,0,0.0,23,320,180,1,1.0,103,0,62699,0,163.0
0.11,1,0.2,19,320,180,2,0.99,109,2,70225,1,41.0
0.11,1,0.0,20,320,180,2,1.01,0,0,0,1,133.0
0.13,2,0.4,55,320,180,4,2.0,49,2,50765,1,76.5
0.13,2,0.66,15,320,180,4,1.0,334,2,97521,0,9.0
0.13,0,0.0,26,320,180,3,0.98,168,0,46863,3,126.0
0.18,3,0.33,20,320,180,1,1.39,0,0,22193,1,99.5
0.25,0,0.0,67,320,180,2,1.46,24,0,32782,0,51.0
0.25,0,0.0,31,320,180,4,4.66,3,0,43597,1,52.25
0.26,0,0.0,29,320,180,4,4.02,16,0,50824,0,51.0
0.24,0,0.0,23,320,180,4,3.0,72,3,71790,1,40.33
0.19,2,0.0,20,320,180,5,1.0,238,3,64849,1,111.0
0.17,2,0.25,42,320,180,3,1.98,1,0,12522,1,114.0
0.21,1,0.11,39,320,180,5,4.01,2,0,19140,0,64.0
0.19,0,0.0,33,320,180,5,3.02,6,0,35330,0,58.67
0.16,0,0.0,32,320,180,2,3.97,8,0,39801,0,50.25
0.14,0,0.0,30,320,180,1,4.98,19,0,49217,0,50.6
0.12,1,0.0,34,320,180,2,3.04,6,0,32781,1,48.33
0.1,1,0.14,22,320,180,4,4.95,24,0,70458,1,45.6
0.1,2,0.4,22,320,180,4,5.04,25,0,66990,2,48.2
0.08,2,0.0,13,320,180,5,1.99,264,1,107867,0,37.0
0.08,1,0.11,23,320,180,5,1.0,144,0,42401,2,116.0
0.08,2,0.0,39,320,180,2,0.0,0,0,17412,1,0.0
0.08,0,0.0,40,320,180,2,2.0,3,0,19195,0,104.0
0.14,1,0.5,30,320,180,1,4.01,17,0,49210,1,82.5
0.13,0,0.0,39,320,180,1,4.0,6,0,20391,0,80.25
0.13,0,0.0,30,320,180,1,5.0,9,0,55869,1,58.6
0.11,2,0.4,31,320,180,1,5.0,19,0,46736,2,64.2
0.1,3,0.43,23,320,180,1,1.97,92,3,74864,3,36.5
0.09,5,0.16,20,320,180,2,0.0,284,4,56551,2,0.0
0.09,2,0.22,19,320,180,4,2.01,107,3,80150,2,52.5
0.14,1,0.25,25,320,180,2,1.0,174,1,54217,2,86.0
0.14,0,0.0,45,320,180,1,0.0,0,0,0,0,0.0
0.19,1,0.5,43,320,180,2,1.0,0,0,10296,1,86.0
0.19,0,0.5,44,320,180,1,1.0,1,1,4530,0,58.0
0.17,0,0.0,17,320,180,2,1.0,287,3,96125,0,20.0
0.16,1,0.2,36,320,180,1,0.99,0,2,10361,1,86.0
0.16,0,0.2,38,320,180,4,2.03,4,0,24018,1,72.0
0.2,2,0.28,39,320,180,5,4.01,2,1,20078,0,62.25
0.19,0,0.0,15,320,180,4,1.99,292,3,89081,0,56.5
0.15,1,0.12,42,320,180,4,1.0,1,3,10511,1,89.0
0.15,0,0.12,24,320,180,5,2.0,87,3,66451,0,41.5
0.18,2,0.4,33,320,180,4,1.0,66,1,29683,1,89.0
0.22,0,0.0,44,320,180,5,2.0,1,0,5986,0,74.5
0.21,0,0.0,45,320,180,3,1.0,0,0,4056,0,84.0
0.21,0,0.0,37,320,180,4,3.99,6,0,29476,0,56.75
0.2,0,0.0,32,320,180,5,4.99,8,0,42133,0,49.6
0.16,0,0.0,31,320,180,3,4.01,6,0,37304,0,48.5
0.13,0,0.0,31,320,180,1,4.01,9,0,39792,0,45.5
0.11,2,0.4,29,320,180,1,4.86,16,0,50132,1,46.8
0.1,3,0.43,22,320,180,5,4.08,36,0,65347,2,46.75
0.09,1,0.2,29,320,180,4,4.95,21,0,51366,0,45.0
0.09,1,0.12,28,320,180,3,3.06,32,0,53553,1,41.67
0.09,1,0.14,30,320,180,1,3.99,15,0,54330,1,48.75
0.09,2,0.28,18,320,180,1,5.01,82,0,75965,2,47.8
0.09,3,0.0,26,320,180,3,2.99,28,0,59699,2,49.0
0.09,3,0.43,31,320,180,5,0.99,11,0,20870,1,42.0
0.1,1,0.14,33,320,180,5,1.0,69,0,59955,1,18.0
0.09,1,0.5,12,320,180,4,4.99,153,0,97257,0,36.2
0.12,3,0.2,14,320,180,5,4.04,217,0,106163,1,45.75
0.12,2,0.14,13,320,180,4,3.01,256,0,97449,2,62.67
0.13,3,0.3,12,320,180,5,1.83,146,2,67722,4,85.0
0.13,1,0.12,15,320,180,4,1.1,392,3,77730,0,133.0
0.15,2,0.28,42,320,180,5,0.0,0,1,8984,1,0.0
0.21,0,0.0,30,320,180,5,2.99,23,0,48412,0,117.33
0.19,0,0.0,31,320,180,4,5.0,12,0,44264,0,186.4
0.17,0,0.0,21,320,180,2,5.01,50,0,68184,0,154.4
0.13,1,0.14,32,320,180,3,3.99,16,0,46922,2,165.75
0.11,4,0.4,27,320,180,1,4.89,24,0,54585,2,144.2
0.1,0,0.0,39,320,180,1,4.1,11,0,27095,1,129.25
0.1,1,0.12,40,320,180,4,5.0,8,0,26763,0,98.2
0.09,0,0.0,33,320,180,5,4.0,8,0,33770,0,82.0
0.08,2,0.33,32,320,180,5,5.01,8,0,40898,0,63.6
0.07,2,0.66,34,320,180,2,4.98,10,0,41020,1,68.0
0.06,0,0.0,19,320,180,1,4.02,42,0,76465,0,64.25
0.06,0,0.0,20,320,180,4,2.0,76,0,69870,1,86.0
0.07,5,0.45,34,320,180,5,3.0,1,0,29444,1,144.33
0.07,1,0.14,30,320,180,3,1.46,64,2,43755,2,86.33
0.07,0,0.14,0,320,180,1,0.0,0,0,0,0,0.0
0.11,3,0.2,39,320,180,3,3.13,5,0,37804,1,96.0
0.16,1,0.5,20,320,180,5,5.01,69,0,71206,1,80.2
0.15,2,0.28,23,320,180,3,4.96,41,0,63386,2,72.6
0.12,0,0.0,20,320,180,5,1.01,190,3,82154,1,20.0
0.12,3,0.37,26,320,180,5,1.01,68,3,43691,2,101.0
0.11,1,0.09,36,320,180,5,3.67,46,0,33215,1,86.25
0.14,0,0.0,32,320,180,4,4.39,12,0,40737,0,64.0
0.18,0,0.0,25,320,180,5,3.0,62,2,69071,0,54.33
0.14,0,0.0,35,320,180,4,1.0,33,3,20860,0,94.0
0.13,4,0.4,28,320,180,5,3.01,5,0,49655,2,83.33
0.15,0,0.0,26,320,180,4,4.99,38,0,63622,0,71.8
0.14,0,0.0,38,320,180,5,3.57,2,0,16958,0,73.25
0.12,2,0.16,28,320,180,5,4.53,16,0,52894,0,62.25
0.11,0,0.0,32,320,180,4,5.02,11,0,42626,0,62.6
0.1,0,0.0,29,320,180,5,4.99,10,0,48695,0,46.6
0.08,0,0.0,24,320,180,4,3.98,41,0,56773,0,75.75
0.08,0,0.0,33,320,180,2,5.02,9,0,43592,0,67.4
0.08,0,0.0,20,320,180,3,3.94,45,0,72054,1,77.75
0.07,1,0.2,36,320,180,4,5.08,12,0,33747,0,77.8
0.07,0,0.0,33,320,180,5,3.96,10,0,41163,1,65.75
0.08,1,0.0,31,320,180,5,5.04,8,0,39199,0,58.4
0.07,1,0.25,23,320,180,4,5.03,39,0,68179,0,64.4
0.06,0,0.0,35,320,180,5,3.99,14,0,43083,1,86.25
0.05,2,0.0,26,320,180,5,4.99,18,0,53644,0,53.4
0.06,0,0.0,26,320,180,5,4.0,18,0,59001,2,48.25
0.06,2,0.33,13,320,180,4,1.97,353,0,103128,1,73.5
0.05,3,0.0,26,320,180,5,3.04,45,0,40160,1,106.33
0.05,0,0.0,23,320,180,2,3.9,67,0,68628,1,166.5
0.1,2,0.11,24,320,180,1,5.17,73,0,70569,1,171.6
0.11,1,0.11,28,320,180,2,5.01,34,0,56266,0,180.2
0.1,1,0.09,31,320,180,4,3.97,18,0,43687,1,151.75
0.1,2,0.0,20,320,180,4,5.03,98,0,80835,2,156.8
0.09,1,0.11,29,320,180,2,5.01,44,3,57308,1,143.2
0.09,1,0.12,41,320,180,4,4.96,2,3,17013,0,111.4
0.09,2,0.25,35,320,180,4,4.03,7,0,39133,1,94.75
0.09,1,0.2,26,320,180,5,4.99,18,0,58400,1,88.8
0.07,0,0.0,13,320,180,5,2.0,285,1,107840,0,90.5
0.07,0,0.0,4,320,180,5,0.0,523,0,17521,1,0.0
0.09,6,0.44,73,320,180,3,1.03,1,0,21166,2,148.0
0.09,0,0.0,34,320,180,5,2.0,4,0,26031,0,130.0
0.17,0,0.0,35,320,180,5,3.98,20,0,35161,0,106.5
0.16,0,0.0,14,320,180,4,4.03,122,0,96741,1,89.25
0.13,1,0.12,18,320,180,1,1.97,150,0,65804,0,121.5
0.14,2,0.16,29,320,180,2,4.05,12,0,49090,2,131.75
0.15,0,0.0,35,320,180,1,3.98,22,0,36526,0,113.5
0.14,1,0.12,36,320,180,2,5.02,5,0,30665,0,103.6
0.11,1,0.2,32,320,180,3,5.0,20,0,44190,1,88.4
0.1,3,0.43,29,320,180,2,5.0,14,0,57908,1,69.6
0.09,0,0.0,33,320,180,1,2.97,20,0,31111,1,91.33
0.12,2,0.5,26,320,180,5,5.02,57,0,62113,2,69.2
0.11,0,0.0,23,320,180,5,5.01,35,0,65210,0,58.6
