remote_inbound_jitter,remote_packetsLost/s,remote_fractionLost,outbound_packetsSent/s,outbound_frameWidth,outbound_frameHeight,outbound_framesPerSecond,outbound_framesSent/s,outbound_totalPacketSentDelay/packetsSent_in_ms,outbound_firCount/s,outbound_bytesSent/s,outbound_nackCount/s,outbound_qpSum/framesEncoded
0.32,0,0.21,0,640,360,1,0.0,0,0,0,0,0.0
0.34,16,0.14,88,640,360,2,3.67,359,0,782030,31,42.5
0.37,23,0.24,113,640,360,3,6.86,22,0,969864,0,25.0
0.39,8,0.15,102,640,360,2,4.0,110,3,911882,4,27.0
0.37,4,0.07,95,640,360,3,5.96,143,9,846324,0,38.67
0.36,8,0.11,94,640,360,3,6.02,78,3,833543,6,39.0
0.32,11,0.0,96,640,360,4,7.95,48,0,822147,9,39.38
0.28,15,0.3,92,640,360,4,8.06,105,0,791791,6,34.12
0.24,13,0.31,81,640,360,2,4.0,261,0,726503,11,60.25
0.23,16,0.42,74,640,360,3,6.0,97,1,644705,19,59.33
0.22,18,0.23,73,640,360,2,4.01,67,2,624630,9,81.0
0.25,5,0.12,145,640,360,3,6.0,35,0,368557,6,63.5
0.24,5,0.15,99,640,360,2,3.98,19,0,411501,1,66.0
0.22,7,0.18,109,640,360,2,3.98,79,0,340610,9,55.25
0.22,18,0.21,87,640,360,2,7.13,128,1,405658,8,68.83
0.22,0,0.21,170,640,360,3,6.54,2,0,139183,1,26.0
0.21,3,0.0,51,320,180,2,3.0,186,0,344984,6,76.33
0.24,11,0.2,115,640,360,2,2.98,56,0,270645,9,23.67
0.25,8,0.2,37,320,180,1,1.01,1094,0,337971,3,59.0
0.23,1,0.33,24,320,180,1,1.0,9,0,63155,3,40.0
0.31,10,0.2,100,320,180,3,3.14,10,0,127389,5,33.25
0.31,0,0.2,111,320,180,3,4.1,11,0,148808,1,34.33
0.23,2,0.07,84,320,180,4,4.01,18,0,202561,2,34.25
0.22,2,0.25,85,320,180,4,4.01,25,2,217706,4,26.75
0.19,2,0.1,83,320,180,3,3.0,32,3,129826,2,70.67
0.16,6,0.4,56,320,180,3,2.99,52,3,205414,5,32.33
0.17,3,0.18,57,320,180,1,1.01,75,4,139810,3,111.0
0.16,4,0.5,72,320,180,3,2.99,3,3,103908,5,49.0
0.18,2,0.13,52,320,180,3,3.02,51,1,134671,0,92.0
0.17,0,0.0,57,320,180,5,4.89,10,0,108969,3,71.6
0.14,5,0.14,45,320,180,5,5.11,22,0,123821,2,77.6
0.13,0,0.0,52,320,180,4,3.99,19,0,93186,0,77.25
0.1,2,0.16,49,320,180,4,4.97,16,0,100233,2,82.6
0.09,5,0.38,41,320,180,5,5.04,16,0,113395,2,71.6
0.09,6,0.0,25,320,180,5,4.98,64,0,133732,3,71.2
